state,county,Obama,Romney
AL,Autauga,26.6,72.6
AL,Baldwin,21.6,77.4
AL,Barbour,51.3,48.3
AL,Bibb,26.2,73.1
AL,Blount,12.3,86.5
AL,Bullock,76.3,23.5
AL,Butler,46.1,53.6
AL,Calhoun,33.5,65.5
AL,Chambers,47.1,52.2
AL,Cherokee,21.8,76.8
AL,Chilton,19.5,79.8
AL,Choctaw,47.5,52.1
AL,Clarke,45.7,54
AL,Clay,26.7,72.3
AL,Cleburne,15.4,83.6
AL,Coffee,24.8,74.2
AL,Colbert,39.2,59.6
AL,Conecuh,50.6,49
AL,Coosa,41.7,57.8
AL,Covington,20.5,78.8
AL,Crenshaw,31.9,67.5
AL,Cullman,14.6,84.2
AL,Dale,28.5,70.6
AL,Dallas,69.7,30
AL,DeKalb,22,76.8
AL,Elmore,25.2,74
AL,Escambia,36.9,62.5
AL,Etowah,30.1,68.5
AL,Fayette,22.8,76.3
AL,Franklin,29.2,69.7
AL,Geneva,18,81
AL,Greene,84.7,15
AL,Hale,62.6,37.1
AL,Henry,35,64.4
AL,Houston,29.5,69.8
AL,Jackson,28.3,70.2
AL,Jefferson,52.6,46.6
AL,Lamar,23,76.2
AL,Lauderdale,33.9,64.8
AL,Lawrence,35.9,62.9
AL,Lee,39.3,59.2
AL,Limestone,27.7,71.4
AL,Lowndes,76.4,23.3
AL,Macon,87.1,12.7
AL,Madison,40,58.6
AL,Marengo,53.5,46.2
AL,Marion,18.6,80.1
AL,Marshall,19.3,79.4
AL,Mobile,45,54.3
AL,Monroe,45.9,53.7
AL,Montgomery,61.9,37.6
AL,Morgan,27.2,71.8
AL,Perry,74.8,24.8
AL,Pickens,46.3,53.3
AL,Pike,42.7,56.5
AL,Randolph,29.6,69.5
AL,Russell,55.6,43.9
AL,St. Clair,16.5,82.6
AL,Shelby,21.6,77.3
AL,Sumter,77.2,22.6
AL,Talladega,41.7,57.7
AL,Tallapoosa,33.5,65.9
AL,Tuscaloosa,40.8,58.2
AL,Walker,23,75.9
AL,Washington,33.9,65.6
AL,Wilcox,74.3,25.6
AL,Winston,13.2,85.6
AR,Ashley,36.1,61.5
AR,Baxter,26.7,70.8
AR,Benton,28.6,69
AR,Boone,24.5,72.5
AR,Bradley,39.8,58.3
AR,Calhoun,30.4,67.1
AR,Carroll,36.3,60.2
AR,Chicot,60.7,38.3
AR,Clark,45.3,51.7
AR,Clay,34,63.1
AR,Cleburne,22.5,74.6
AR,Cleveland,25.9,70.8
AR,Columbia,37.6,61.2
AR,Conway,38.9,58.4
AR,Craighead,33.2,64.2
AR,Crawford,23.7,73.6
AR,Crittenden,58.6,39.9
AR,Cross,34.1,63.9
AR,Dallas,43.4,54
AR,Desha,55.5,42.6
AR,Drew,39.6,58.6
AR,Faulkner,32.8,64.5
AR,Franklin,26.4,70.8
AR,Fulton,32.1,65.2
AR,Garland,33.9,63.8
AR,Grant,22.6,74.5
AR,Greene,29.1,65.9
AR,Hempstead,35.6,61.9
AR,Hot Spring,34,63.1
AR,Howard,33,64.8
AR,Independence,26.5,70.4
AR,Izard,29.4,67.2
AR,Jackson,39.2,57.4
AR,Jefferson,63.8,34.8
AR,Johnson,34.5,62.6
AR,Lafayette,40.1,58.5
AR,Lawrence,32.3,63.8
AR,Lee,61.5,37.4
AR,Lincoln,38.2,59
AR,Little River,30.7,67
AR,Logan,27.4,69.3
AR,Lonoke,23.3,74.2
AR,Madison,32,64.9
AR,Marion,28.8,67.9
AR,Miller,29.5,69.3
AR,Mississippi,48.3,49.4
AR,Monroe,49,49.1
AR,Montgomery,27,69.6
AR,Nevada,38.8,59
AR,Newton,27.1,68.5
AR,Ouachita,44.9,53.5
AR,Perry,30.1,65.5
AR,Phillips,65.6,32.8
AR,Pike,22.4,75.2
AR,Poinsett,31.6,65.8
AR,Polk,20.2,77.1
AR,Pope,25.1,72.3
AR,Prairie,28,68.6
AR,Pulaski,54.7,43.3
AR,Randolph,34.3,62.2
AR,Saint Francis,58,41
AR,Saline,27.3,70
AR,Scott,24.6,72.3
AR,Searcy,22,73.1
AR,Sebastian,30.2,67.3
AR,Sevier,24.1,72.4
AR,Sharp,28.7,67.6
