county,state,Population (2014),Population (2010),% people under 18 (2014),% people over 65 (2014),% female (2014),% white (2014),% black (2014),% asian (2014),% hispanic (2014),% immigrants (2009-2013),"% high school graduate, people over 25 (2009-2013)","% bachelors degree, people over 25 (2009-2013)",# of veterans(2009-2013),"mean travel time to work, mins (2009-2013)",homeownership rate (2009-2013),Per capita money income in past 12 months (2009-2013),median household income (2009-2013),% people below poverty line (2009-2013),land area in square miles (2010),population per square mile (2010),Population  per square mile using 2014 population and 2010 land area
Aleutians East Borough,AK,3360,3141,10.1,6.6,30.9,22.8,12,40.7,13.2,56.6,78.5,12,99,4.8,54.7,26535,61250,16.7,6981.94,0.4,0.481241603
Aleutians West Census Area,AK,5750,5561,12.3,5.4,32.4,37.8,7.6,34.5,14.1,34.9,82.7,13.3,354,6.4,36.4,31790,81853,9.2,4390.28,1.3,1.309711453
Anchorage Municipality,AK,301010,291826,24.9,8.9,48.6,66.1,6.3,9.2,8.9,9.4,92.5,32.8,30292,19.4,60.6,36214,77454,7.9,1704.68,171.2,176.5785954
Bethel Census Area,AK,17868,17013,36.1,6.6,48.3,12.1,0.8,1.1,1.8,1.2,79.5,11.7,909,7.4,64.2,18497,51689,22.8,40570,0.4,0.440423959
Bristol Bay Borough,AK,957,997,20.1,9.7,44.3,46.1,0,1,4.3,0.6,91.7,19.4,91,10.2,57.3,37024,79531,7.9,503.84,2,1.899412512
Denali Borough,AK,1921,1826,18.8,8.5,45.6,86,1.8,3.6,3.7,7.4,88.8,28.1,198,15.2,68.9,35295,72500,11.4,12751.41,0.1,0.150650007
Dillingham Census Area,AK,4988,4847,31.9,7.9,48.6,18.7,0.7,0.9,3.1,1.5,83.7,17.8,214,8.7,57.8,21498,54150,18.1,18568.78,0.3,0.268622925
Fairbanks North Star Borough,AK,99357,97581,24.1,8,45.9,77.3,5.4,3.1,7.7,5.7,93.1,29,11048,19.2,59.2,32143,69223,8.4,7338.21,13.3,13.53967793
Haines Borough,AK,2566,2508,19.1,16.8,51,79.1,0.7,1.1,2.5,5,96.4,30.1,282,11.7,64.2,31096,52866,7.8,2318.6,1.1,1.10670232
Hoonah-Angoon Census Area,AK,2082,2150,19.4,16.5,46.5,48.8,0.6,0.7,5.1,3,88.4,26.9,172,9.7,63.4,28806,49545,14.9,7524.92,0.3,0.276680682
Juneau City and Borough,AK,32406,31275,22.1,10.6,48.8,69.9,1.6,6.2,6.5,6.5,95.5,36.7,2739,15.1,64.5,37558,81490,6.2,2701.93,11.6,11.99364898
Kenai Peninsula Borough,AK,57477,55400,23.1,14.2,47.6,84.5,0.8,1.4,4,2.6,92.8,23.7,6137,19.1,72.7,31256,61793,8.6,16075.33,3.4,3.575478699
Ketchikan Gateway Borough,AK,13787,13477,22.8,12.5,47.9,68.4,0.9,7.5,4.9,7.3,93.5,25.4,1421,13.7,58.5,31589,62519,10.2,4858.41,2.8,2.837759679
Kodiak Island Borough,AK,13986,13592,26,8.6,46.2,57.2,1.5,20.7,8.7,14.2,89.6,20,1097,11.1,56.9,28562,68718,11.7,6549.58,2.1,2.135404102
Lake and Peninsula Borough,AK,1631,1631,28.1,9,47.1,25.1,1,0.3,3.2,1.7,86.8,15.4,79,6.4,64.4,21616,51786,21.1,23652.01,0.1,0.068958198
Matanuska-Susitna Borough,AK,97882,88995,27.3,9.6,47.5,83.8,1.3,1.4,4.7,3.4,92.4,21.3,9600,32.8,76.7,29534,71037,9.9,24607.9,3.6,3.977665709
Nome Census Area,AK,9817,9492,34.9,7.3,47.6,17.3,0.7,1.2,2,1.4,84.1,17.1,600,6.7,55.1,20271,49974,27.7,22961.76,0.4,0.427536914
North Slope Borough,AK,9703,9430,25.8,4.8,37.5,33.9,1.5,5.8,3.9,5.3,86,14.5,604,8.9,48.3,46457,80761,10.3,88695.41,0.1,0.109396867
Northwest Arctic Borough,AK,7717,7523,36.1,6.9,45.8,13.1,1,0.9,2.1,1.2,78.7,11,367,7.6,56,21461,61607,22,35572.58,0.2,0.216936753
Petersburg Borough,AK,3160,3815,22.3,13.3,48.2,77.9,1.6,3.1,5.6,4.6,95.7,25.7,345,7.7,69.2,34183,63934,13.5,3281.98,1.2,0.962833412
Prince of Wales-Hyder Census Area,AK,6396,5559,24.1,11.4,45.3,47.2,0.4,0.7,3.3,1.4,91,15.7,492,14.6,70.7,24581,46071,15.1,3922.87,1.4,1.630438939
Sitka City and Borough,AK,8900,8881,22.2,13.2,48.7,67,1.1,6.6,6,7.7,91.2,34.1,757,12.3,56.2,32521,69405,10,2870.34,3.1,3.100677968
Skagway Municipality,AK,1036,968,13.1,10.6,47.6,89.9,0.3,0.7,4.3,8.9,95.2,24.3,47,4.4,59.2,37139,71667,5.5,452.33,2.1,2.29036323
Southeast Fairbanks Census Area,AK,6931,7029,25.6,12,44.4,80,1.5,1.3,4.9,9.1,93.1,23.1,973,12.2,66.5,29437,56801,13.3,24768.81,0.3,0.279827735
Valdez-Cordova Census Area,AK,9488,9636,24.5,10.1,47.3,74,0.9,4,4.7,4.6,91,23.9,895,12.2,74.5,32579,74878,8.3,34239.88,0.3,0.277103775
Wade Hampton Census Area,AK,8010,7459,42,5.2,47.5,5.2,0.2,0.3,1.1,0.6,76.6,5.4,351,6,71.1,11210,40176,31.4,17081.43,0.4,0.468930294
Wrangell City and Borough,AK,2364,2369,20.3,17.9,48.2,70.6,0.4,1.9,2.2,2.8,89,16.7,364,9.5,71.4,28474,45841,9.5,2541.48,0.9,0.930166675
Yakutat City and Borough,AK,635,662,19.2,12.8,44.6,39.8,2.5,4.6,3.3,5.9,93.2,22.7,58,5.4,49.6,34317,72500,5.9,7649.46,0.1,0.083012396
Yukon-Koyukuk Census Area,AK,5547,5588,27.8,13.3,46.3,23.2,0.6,0.3,2,1.1,80.3,9.3,419,8.3,70.4,19729,34710,24.2,145504.79,0,0.038122456
Autauga ,AL,55395,54571,25.2,13.8,51.4,77.9,18.7,1.1,2.7,1.6,85.6,20.9,5922,26.2,76.8,24571,53682,12.1,594.44,91.8,93.1885472
Baldwin ,AL,200111,182265,22.2,18.7,51.2,87.1,9.6,0.9,4.6,3.6,89.1,27.7,19346,25.9,72.6,26766,50221,13.9,1589.78,114.6,125.8733913
Barbour ,AL,26887,27457,21.2,16.5,46.6,50.2,47.6,0.5,4.5,2.9,73.7,13.4,2120,24.6,67.7,16829,32911,26.7,884.88,31,30.38491095
Bibb ,AL,22506,22915,21,14.8,45.9,76.3,22.1,0.2,2.1,1.2,77.5,12.1,1327,27.6,79,17427,36447,18.1,622.58,36.8,36.14957114
Blount ,AL,57719,57322,23.6,17,50.5,96,1.8,0.3,8.7,4.3,77,12.1,4540,33.9,81,20730,44145,15.8,644.78,88.9,89.51735476
Bullock ,AL,10764,10914,21.4,14.9,45.3,26.9,70.1,0.3,7.5,5.4,67.8,12.5,636,26.9,74.3,18628,32033,21.6,622.81,17.5,17.28295949
Butler ,AL,20296,20947,23.6,18,53.6,53.9,44,0.9,1.2,0.8,76.3,14,1497,24,70.3,17403,29918,28.4,776.83,27,26.12669439
Calhoun ,AL,115916,118572,22.2,16,51.8,75.8,21.1,0.9,3.5,2.4,78.6,16.1,11385,22.5,68.7,20828,39962,21.9,605.87,195.7,191.3215706
Chambers ,AL,34076,34215,21.4,18.3,52.3,58.3,39.5,0.8,2,1.1,75.1,11.8,2691,24.6,67.9,19291,32402,24.1,596.53,57.4,57.12369872
Cherokee ,AL,26037,25989,20.4,20.9,50.2,93,4.6,0.3,1.5,0.7,78.3,12.8,2174,26.9,76.1,22030,34907,21.2,553.7,46.9,47.02365902
Chilton ,AL,43931,43643,24.2,15.2,50.8,87.1,10.6,0.4,7.7,5.2,76,12.9,3308,31.8,74.5,20701,41250,19.5,692.85,63,63.40622068
Choctaw ,AL,13323,13859,20.6,20.8,52.5,56.6,42.4,0.3,0.8,0.3,75.2,11.8,938,33.4,83.7,20323,33941,21.5,913.5,15.2,14.58456486
Clarke ,AL,24945,25833,22.6,18,52.8,54,44.2,0.5,1.3,0.3,78.3,11.2,1583,25.5,72.9,18979,29357,29.3,1238.47,20.9,20.14178785
Clay ,AL,13552,13932,21.6,19.4,50.6,82.8,14.5,0.3,3.4,2.2,76.5,9.2,1076,30.7,75,18694,34002,19,603.96,23.1,22.43857209
Cleburne ,AL,15080,14972,23.3,18.4,50.4,94.5,3.6,0.2,2.5,1.5,76,9,989,31.4,77.6,19108,38019,18.4,560.1,26.7,26.92376361
Coffee ,AL,50909,49948,23.7,15.9,50.5,76.4,17.7,1.6,6.4,5.1,82.4,22.5,6066,21.3,69.9,23380,43768,18.6,678.97,73.6,74.97974874
Colbert ,AL,54543,54428,21.7,18.5,51.8,80.8,16.3,0.5,2.6,2,83.5,17.7,4376,22.7,72.1,21572,39077,17.9,592.62,91.8,92.03705579
Conecuh ,AL,12670,13228,21.4,20.4,51.9,52.1,46.2,0.1,1.8,0.6,77.3,8.8,1101,27.2,79.1,15605,24658,32.7,850.16,15.6,14.90307707
Coosa ,AL,10886,11539,18.3,18.5,49.5,66.1,31.8,0.2,2.3,1.8,75,9.8,934,30.2,83,18493,37277,20.9,650.93,17.7,16.72376446
Covington ,AL,37914,37765,22.1,19.8,51.6,84.3,13,0.5,1.6,1.4,78.4,14.2,3433,23.3,75.1,20391,35869,20,1030.46,36.6,36.79327679
Crenshaw ,AL,13977,13906,22.7,18,51.1,72,24,1.8,1.7,2.3,76.7,12.7,1098,30.3,69.9,21343,36275,19.1,608.84,22.8,22.95677025
Cullman ,AL,81289,80406,22.5,17.6,50.5,96.2,1.4,0.5,4.4,3,79.8,14.8,6167,26.4,75,20760,38847,18.8,734.84,109.4,110.6213598
Dale ,AL,49484,50251,23.6,15.4,50.5,75.2,19.7,1.3,6.1,3.7,84.1,17,6730,20.9,61.1,22685,44889,17.4,561.15,89.6,88.18319522
Dallas ,AL,41711,43820,25.2,15.6,53.7,29,69.5,0.5,1,0.8,77.5,14.2,2897,22,60.9,17245,26519,35.5,978.7,44.8,42.61878001
DeKalb ,AL,71065,71109,24.7,15.7,50.7,92.4,2.1,0.4,14.2,7.5,70.6,10.7,4371,23.3,76.3,18149,37851,19.9,777.09,91.5,91.45015378
Elmore ,AL,80977,79303,23,14,51.5,76,21.2,0.7,2.7,2.1,86.6,21,8364,28.2,75.5,23856,54766,13.4,618.49,128.2,130.926935
Escambia ,AL,37733,38319,22,16.7,48.8,62.2,32.4,0.3,2.1,0.6,76.2,11.7,2995,23.5,72.5,16540,30687,25.4,945.08,40.5,39.92572057
Etowah ,AL,103531,104430,22.1,17.3,51.6,81.2,15.5,0.8,3.7,2.2,81.8,14.8,8638,23.9,72.4,20204,38013,19,534.99,195.2,193.519505
Fayette ,AL,16874,17241,21.7,19.6,50.5,86.2,11.9,0.3,1.4,0.6,74.9,13.2,1221,27.5,74.9,18494,33838,19.9,627.66,27.5,26.88398177
