"","county","state","clinton_16","trump_16","obama_08","mccain_08","obama_12","romney_12","clinton_primary","sanders_primary","miss_data","alcohol_08","alcohol_12","alcohol_16","drug_08","drug_12","drug_16","suicides_08","suicides_12","suicides_16","pop_2014","pop_2010","perc_under_18","perc_over_65","perc_females","perc_white","perc_black","perc_asian","perc_hisp","perc_immigrants","perc_high_school","perc_bachelors","perc_vets","commuting_time","perc_own_homes","per_cap_income","median_hh_income","perc_below_poverty","land_area","pop_density_2010","pop_density_2014","religious_14","civic_14","business_14","political_14","professsional_14","labor_14","bowling_14","recreation_14","golf_14","sports_14","pop_14","soc_cap_agg_14","voter_to_12","census_resp_10","non_profits_14","soc_cap_indx_14","hh_inc_change_p25","hh_inc_change_p75","diversity_idx_2016","surplus_hillary","surplus_hillary2"
"1","Autauga","Alabama",5936,18172,6091,17398,6354,17366,2391,545,0,4,3,3,5,3,7,5,12,14,55395,54571,25.2,13.8,51.4,77.9,18.7,1.1,2.7,1.6,85.6,20.9,5922,26.2,76.8,24571,53682,12.1,594.44,91.8,93.1885472,53,7,3,0,1,4,1,5,2,0,55290,1.374570447,0.644955609,0.78,157,-0.63100335,-0.21,0.22,0.6011,92243,43427
"2","Baldwin","Alabama",18458,72883,19362,61192,18329,65772,5307,2709,0,14,21,8,27,34,34,29,45,42,200111,182265,22.2,18.7,51.2,87.1,9.6,0.9,4.6,3.6,89.1,27.7,19346,25.9,72.6,26766,50221,13.9,1589.78,114.6,125.8733913,169,16,9,0,3,1,1,25,7,0,199713,1.156659807,0.674735405,0.73,718,-0.555396006,-0.12,-0.06,0.597774,50054,44179
"3","Barbour","Alabama",4871,5454,5685,5862,5873,5539,2585,222,0,2,1,1,0,1,2,0,3,4,26887,27457,21.2,16.5,46.6,50.2,47.6,0.5,4.5,2.9,73.7,13.4,2120,24.6,67.7,16829,32911,26.7,884.88,31,30.38491095,19,1,1,0,0,0,0,0,1,0,26815,0.820436323,0.665030604,0.63,92,-0.891036085,-0.59,0.05,0.5916,103896,43944
"4","Bibb","Alabama",1874,6738,2289,6247,2200,6131,942,246,-1,0.184642199,0.184642199,0.879931137,7,4,7,5,4,4,22506,22915,21,14.8,45.9,76.3,22.1,0.2,2.1,1.2,77.5,12.1,1327,27.6,79,17427,36447,18.1,622.58,36.8,36.14957114,20,0,1,0,0,0,0,1,1,0,22549,1.020000887,0.656837507,0.58,54,-0.906581521,-0.2,0.36,0.572213,99615,42277
"5","Blount","Alabama",2156,22859,3518,20362,2961,20741,564,395,0,5,3,7,18,18,15,8,15,11,57719,57322,23.6,17,50.5,96,1.8,0.3,8.7,4.3,77,12.1,4540,33.9,81,20730,44145,15.8,644.78,88.9,89.51735476,39,0,1,0,0,3,0,3,3,0,57658,0.849838704,0.708668375,0.8,108,-1.013279735,0.3,0.11,0.568373,83776,41750
"6","Bullock","Alabama",3530,1140,4001,1389,4058,1250,2461,178,0,0,1,1,0,0.386703032,0.534868914,1,0,1,10764,10914,21.4,14.9,45.3,26.9,70.1,0.3,7.5,5.4,67.8,12.5,636,26.9,74.3,18628,32033,21.6,622.81,17.5,17.28295949,10,0,0,0,0,0,0,0,1,0,10829,1.015790932,0.680823845,0.34,40,-0.502400203,-0.58,-0.41,0.54832,106869,43864
"7","Butler","Alabama",3726,4901,4174,5472,4367,5081,2197,156,0,0,0,0,3,1,4,3,6,5,20296,20947,23.6,18,53.6,53.9,44,0.9,1.2,0.8,76.3,14,1497,24,70.3,17403,29918,28.4,776.83,27,26.12669439,19,0,0,0,0,1,0,1,3,0,20276,1.183665417,0.704478055,0.56,74,-0.339173133,-0.42,0.08,0.547169,103304,43622
"8","Calhoun","Alabama",13242,32865,16325,32326,15500,30272,5111,1478,0,2,8,9,21,7,16,14,24,25,115916,118572,22.2,16,51.8,75.8,21.1,0.9,3.5,2.4,78.6,16.1,11385,22.5,68.7,20828,39962,21.9,605.87,195.7,191.3215706,133,11,5,1,0,6,1,7,6,0,115993,1.465605683,0.661464055,0.75,409,-0.351892126,-0.21,0.08,0.542337,84856,45214
"9","Chambers","Alabama",5784,7843,6782,8060,6853,7596,2913,315,0,1,4,5,5,3,5,4,9,15,34076,34215,21.4,18.3,52.3,58.3,39.5,0.8,2,1.1,75.1,11.8,2691,24.6,67.9,19291,32402,24.1,596.53,57.4,57.12369872,59,1,1,0,0,0,1,0,1,0,34052,1.850111594,0.598005151,0.74,100,-0.36673095,-0.46,-0.04,0.529877,102420,44179
"10","Cherokee","Alabama",1547,8953,2299,7285,2126,7494,712,269,0,3,2,2,4,9,5,2,8,6,26037,25989,20.4,20.9,50.2,93,4.6,0.3,1.5,0.7,78.3,12.8,2174,26.9,76.1,22030,34907,21.2,553.7,46.9,47.02365902,21,1,1,0,0,1,0,1,1,0,25995,1.000192345,0.638206348,0.55,53,-1.052143323,-0.04,0.07,0.525809,97073,42024
