Geography,Population_2016,Percent_white_2016,percent_black_2016,percent_hispanic_2016
"Autauga County, Alabama",55049,76.9,18.5,2.6
"Baldwin County, Alabama",199510,86.4,9.3,4.4
"Barbour County, Alabama",26614,46.7,47.9,4.3
"Bibb County, Alabama",22572,77,21.2,2.2
"Blount County, Alabama",57704,95.4,1.6,8.7
"Bullock County, Alabama",10552,21.8,75.5,0.1
"Butler County, Alabama",20280,53.6,43.8,1.2
"Calhoun County, Alabama",115883,74.9,20.5,3.4
"Chambers County, Alabama",34018,57.1,40.5,0.4
"Cherokee County, Alabama",25897,93.3,4.7,1.6
"Chilton County, Alabama",43817,83.8,10.1,7.6
"Choctaw County, Alabama",13287,56.4,42.6,0.6
"Clarke County, Alabama",24847,53.3,45.5,0.2
"Clay County, Alabama",13483,82.9,14.8,3.1
"Cleburne County, Alabama",14991,94.6,2.4,2.3
"Coffee County, Alabama",50991,76.4,17.2,6.6
"Colbert County, Alabama",54377,79.8,15.7,2.4
"Conecuh County, Alabama",12697,51.9,46.3,1.8
"Coosa County, Alabama",10864,66.3,32.4,1.3
"Covington County, Alabama",37729,84.5,13.1,1.5
"Crenshaw County, Alabama",13896,71.5,23.8,1.7
"Cullman County, Alabama",81316,95.9,1.1,4.2
"Dale County, Alabama",49607,74.4,19.7,5.9
"Dallas County, Alabama",41426,28.7,69.5,1
"DeKalb County, Alabama",70937,87.2,1.5,14
"Elmore County, Alabama",80957,75.4,21.4,2.8
"Escambia County, Alabama",37875,61.9,32.4,2.1
"Etowah County, Alabama",103363,81.3,15.4,3.6
"Fayette County, Alabama",16783,85.6,12.5,0.9
"Franklin County, Alabama",31573,89.1,4.5,16
"Geneva County, Alabama",26765,86.8,9.6,3.7
"Greene County, Alabama",8587,17.1,81.3,0.6
"Hale County, Alabama",15159,40,58.3,1.2
"Henry County, Alabama",17187,70.5,27.9,2.5
"Houston County, Alabama",103891,69.6,26.6,3.2
"Jackson County, Alabama",52608,91.1,3.3,2.7
"Jefferson County, Alabama",659096,52.4,42.5,3.7
"Lamar County, Alabama",14066,87.6,11.3,1.4
"Lauderdale County, Alabama",92641,87,9.9,2.4
"Lawrence County, Alabama",33433,78.1,11.4,2.1
"Lee County, Alabama",153947,69.9,23.2,3.7
"Limestone County, Alabama",90257,81.5,12.7,5.7
"Lowndes County, Alabama",10565,24.7,74.6,0.5
"Macon County, Alabama",19684,15.8,82.1,1.6
"Madison County, Alabama",349973,68.8,24.2,4.7
"Marengo County, Alabama",20066,45.7,52.8,0.9
"Marion County, Alabama",30239,93.4,3.3,2.4
"Marshall County, Alabama",94534,92.5,2.1,12.9
"Mobile County, Alabama",414291,59.6,35.3,2.6
"Monroe County, Alabama",21975,54.9,42.8,0.6
"Montgomery County, Alabama",227392,37.8,56.8,3.3
"Morgan County, Alabama",119555,81.9,12.2,7.8
"Perry County, Alabama",9856,30.1,68.6,1
"Pickens County, Alabama",20042,56.2,41.8,2.4
"Pike County, Alabama",33277,58.3,37.6,2.2
"Randolph County, Alabama",22615,77.2,19.6,2.9
"Russell County, Alabama",58636,51.8,42.3,5.1
"St. Clair County, Alabama",86576,87.5,9.4,2.3
"Shelby County, Alabama",205951,81.2,11.6,5.8
"Sumter County, Alabama",13285,24.7,71.7,0.3
"Talladega County, Alabama",81057,64.6,32.1,2.2
"Tallapoosa County, Alabama",40958,70.3,27.5,2.4
"Tuscaloosa County, Alabama",202471,65.4,31,3.3
"Walker County, Alabama",65593,91.4,5.8,2.3
"Washington County, Alabama",16909,65.5,24.8,1.3
"Wilcox County, Alabama",11119,27.4,71.9,0.6
"Winston County, Alabama",24013,96.6,0.4,2.9
"Aleutians East Borough, Alaska",3299,19.1,7,10
"Aleutians West Census Area, Alaska",5714,30.9,5.5,13.8
"Anchorage Municipality, Alaska",299321,64.3,5.7,8.7
"Bethel Census Area, Alaska",17885,11,0.8,2
"Bristol Bay Borough, Alaska",942,55.7,0.3,4.9
"Denali Borough, Alaska",2125,85.5,1,0.8
"Dillingham Census Area, Alaska",4980,17.9,0.2,3
"Fairbanks North Star Borough, Alaska",100150,76.5,4.2,7.5
"Haines Borough, Alaska",2528,77.9,0,1.6
"Hoonah-Angoon Census Area, Alaska",2107,50.8,3.7,5
"Juneau City and Borough, Alaska",32524,69.4,1.2,6.3
"Kenai Peninsula Borough, Alaska",57637,83.6,0.6,3.8
"Ketchikan Gateway Borough, Alaska",13715,67.5,0.5,4.6
"Kodiak Island Borough, Alaska",13918,54,0.1,8.7
"Kusilvak Census Area, Alaska",7993,3.9,0.6,1.3
"Lake and Peninsula Borough, Alaska",1411,21.3,0.8,2.1
"Matanuska-Susitna Borough, Alaska",98679,83.7,1.1,4.5
"Nome Census Area, Alaska",9879,16.4,0.8,2.1
"North Slope Borough, Alaska",9681,32.5,0.6,3.8
"Northwest Arctic Borough, Alaska",7723,11.5,0.6,2.1
"Petersburg Borough, Alaska",3196,74.8,2.3,10.4
"Prince of Wales-Hyder Census Area, Alaska",6374,46.1,0.2,3.5
"Sitka City and Borough, Alaska",8921,64.4,2.2,6.2
"Skagway Municipality, Alaska",1014,80.4,1.1,6.3
"Southeast Fairbanks Census Area, Alaska",6970,78.1,1.4,5.1
"Valdez-Cordova Census Area, Alaska",9522,73.8,0.1,4.7
"Wrangell City and Borough, Alaska",2401,67.5,0.3,3
"Yakutat City and Borough, Alaska",646,44.9,1.1,2.8
"Yukon-Koyukuk Census Area, Alaska",5600,22.3,0.4,1.9
"Apache County, Arizona",72346,22.5,0.5,5.9
"Cochise County, Arizona",128177,82.8,4,34.4
"Coconino County, Arizona",138064,63.3,1.5,13.7
"Gila County, Arizona",53179,78.6,0.6,18.5
"Graham County, Arizona",37529,78.9,2,32.1
"Greenlee County, Arizona",9224,90.3,1.9,46.5
"La Paz County, Arizona",20304,75.2,0.4,26.2
