county,state,clinton,sanders
Autauga,AL,0.800468698,0.182457315
Baldwin,AL,0.646328096,0.329923274
Barbour,AL,0.906699404,0.077867415
Bibb,AL,0.754807692,0.197115385
Blount,AL,0.551319648,0.386119257
Bullock,AL,0.913511507,0.066072754
Butler,AL,0.921174004,0.065408805
Calhoun,AL,0.762266965,0.220432513
Chambers,AL,0.885410334,0.095744681
Cherokee,AL,0.660482375,0.249536178
Chilton,AL,0.73089983,0.24533107
Choctaw,AL,0.802172929,0.123585333
Clarke,AL,0.930445034,0.062776304
Clay,AL,0.818913481,0.135814889
Cleburne,AL,0.731788079,0.238410596
Coffee,AL,0.771884655,0.200823893
Colbert,AL,0.649482816,0.225058392
Conecuh,AL,0.714135021,0.191279887
Coosa,AL,0.877056277,0.108225108
Covington,AL,0.772112383,0.197710718
Crenshaw,AL,0.878143133,0.103481625
Cullman,AL,0.60772164,0.345567207
Dale,AL,0.769690927,0.206879362
Dallas,AL,0.74390984,0.153792805
DeKalb,AL,0.628391473,0.323643411
Elmore,AL,0.798391151,0.186777275
Escambia,AL,0.884766478,0.098646879
Etowah,AL,0.74506408,0.226532733
Fayette,AL,0.767981439,0.171693735
Franklin,AL,0.484111416,0.300902315
Geneva,AL,0.748971193,0.215363512
Greene,AL,0.901459854,0.070670206
Hale,AL,0.796132416,0.140281875
Henry,AL,0.85620438,0.118978102
Houston,AL,0.783375959,0.200511509
Jackson,AL,0.699157007,0.269230769
Jefferson,AL,0.816383873,0.173685039
Lamar,AL,0.615598886,0.240947075
Lauderdale,AL,0.649595213,0.311334037
Lawrence,AL,0.776728372,0.162448054
Lee,AL,0.735998356,0.254547323
Limestone,AL,0.726453357,0.255971158
Lowndes,AL,0.886390255,0.077535723
Macon,AL,0.892189447,0.100540091
Madison,AL,0.685490463,0.301941417
Marengo,AL,0.657991202,0.200146628
Marion,AL,0.577669903,0.359223301
Marshall,AL,0.620589456,0.342050643
Mobile,AL,0.82612012,0.163229561
Monroe,AL,0.909023117,0.076435496
Montgomery,AL,0.862193038,0.128421936
Morgan,AL,0.73076203,0.252574424
Perry,AL,0.820909665,0.122867972
Pickens,AL,0.76202946,0.148281506
Pike,AL,0.835491241,0.146610815
Randolph,AL,0.706285714,0.187428571
Russell,AL,0.728027912,0.164313009
Shelby,AL,0.628420954,0.354274429
St. Clair,AL,0.692366412,0.286641221
Sumter,AL,0.808763863,0.112523668
Talladega,AL,0.864512119,0.121659416
Tallapoosa,AL,0.879841112,0.101952996
Tuscaloosa,AL,0.766719293,0.217619198
Walker,AL,0.57421875,0.3359375
Washington,AL,0.573696145,0.214663643
Wilcox,AL,0.843102577,0.103587671
Winston,AL,0.665934066,0.305494505
Alabama,T,0.778808671,0.191656314
Apache,AZ,0.653101737,0.299627792
Cochise,AZ,0.559521265,0.40297072
Coconino,AZ,0.421631296,0.555420609
Gila,AZ,0.583333333,0.363594041
Graham,AZ,0.483690112,0.451070336
Greenlee,AZ,0.545554336,0.356750823
La Paz,AZ,0.51369863,0.443835616
Maricopa,AZ,0.567081898,0.412807364
Mohave,AZ,0.557351345,0.392956218
Navajo,AZ,0.592137293,0.359542356
Pima,AZ,0.557419236,0.425283765
Pinal,AZ,0.606410879,0.361243322
Santa Cruz,AZ,0.648121731,0.328815977
Yavapai,AZ,0.517868632,0.45879394
Yuma,AZ,0.623468208,0.33283237
Arizona,T,0.562932856,0.413872832
Arkansas,AR,0.833141542,0.151898734
Ashley,AR,0.474137931,0.337931034
Baxter,AR,0.623655914,0.362007168
Benton,AR,0.540171756,0.44980916
Boone,AR,0.591954023,0.385057471
Bradley,AR,0.832167832,0.148251748
Calhoun,AR,0.4553102,0.335436383
Carroll,AR,0.481748535,0.499774673
Chicot,AR,0.810762862,0.146067416
Clark,AR,0.751708428,0.225056948
Clay,AR,0.520259319,0.354943274
Cleburne,AR,0.686594203,0.286231884
Cleveland,AR,0.688288288,0.246846847
Columbia,AR,0.738461538,0.224175824
Conway,AR,0.621506898,0.297134772
Craighead,AR,0.640705757,0.335769025
Crawford,AR,0.625295508,0.344759653
Crittenden,AR,0.766643945,0.162690298
Cross,AR,0.742150333,0.216936251
Dallas,AR,0.567567568,0.295659296
Desha,AR,0.69234668,0.224531171
Drew,AR,0.677681473,0.257313109
Faulkner,AR,0.584668192,0.399313501
Franklin,AR,0.672379032,0.296370968
Fulton,AR,0.554150198,0.373913043
Garland,AR,0.686738836,0.301589986
Grant,AR,0.662824207,0.288184438
Greene,AR,0.654497354,0.31005291
Hempstead,AR,0.794742164,0.165824065
Hot Spring,AR,0.636030907,0.298088654
Howard,AR,0.765379113,0.184549356
Independence,AR,0.643377886,0.318347509
Izard,AR,0.648241206,0.301507538
Jackson,AR,0.72972973,0.233887734
Jefferson,AR,0.787399082,0.167563717
Johnson,AR,0.622130665,0.341377281
Lafayette,AR,0.686821705,0.248062016
Lawrence,AR,0.495485927,0.385554965
Lee,AR,0.895970009,0.078725398
Lincoln,AR,0.757269279,0.19216182
Little River,AR,0.531319086,0.324981577
Logan,AR,0.68881939,0.282251759
Lonoke,AR,0.656346749,0.319659443
Madison,AR,0.416890595,0.414203455
Marion,AR,0.558018253,0.413298566
Miller,AR,0.760233918,0.20877193
Mississippi,AR,0.819472617,0.138742394
Monroe,AR,0.607348703,0.29610951
Montgomery,AR,0.659707724,0.296450939
Nevada,AR,0.591948765,0.279963403
Newton,AR,0.469437653,0.515892421
Ouachita,AR,0.750896057,0.188172043
Perry,AR,0.528548124,0.349102773
Phillips,AR,0.753489671,0.183696259
Pike,AR,0.641608392,0.298951049
Poinsett,AR,0.723790323,0.230846774
Polk,AR,0.543613707,0.423676012
Pope,AR,0.574880871,0.400612662
Prairie,AR,0.520257827,0.354511971
Pulaski,AR,0.763907734,0.229461198
Randolph,AR,0.619626168,0.33271028
St. Francis,AR,0.807773553,0.149556401
Saline,AR,0.673721613,0.3108296
Scott,AR,0.634854772,0.315352697
Searcy,AR,0.56377551,0.418367347
Sebastian,AR,0.608647096,0.371091257
Sevier,AR,0.62295082,0.304189435
Sharp,AR,0.642027455,0.310454065
Stone,AR,0.544278607,0.418905473
Union,AR,0.502960916,0.329846032
Van Buren,AR,0.606299213,0.344094488
Washington,AR,0.51299505,0.479522952
White,AR,0.690078418,0.279236277
Woodruff,AR,0.657757981,0.227171492
Yell,AR,0.582125604,0.347826087
Arkansas,T,0.660831599,0.299683287
Alameda,CA,0.514601103,0.480477247
Alpine,CA,0.448412698,0.543650794
Amador,CA,0.504208417,0.478156313
Butte,CA,0.369767442,0.620333124
Calaveras,CA,0.494507324,0.485019973
Colusa,CA,0.493498818,0.478132388
Contra Costa,CA,0.566900926,0.427163054
Del Norte,CA,0.403679654,0.576479076
El Dorado,CA,0.491327434,0.496361849
Fresno,CA,0.560267334,0.427426415
Glenn,CA,0.467659138,0.514887064
Humboldt,CA,0.287425361,0.704094972
Imperial,CA,0.64996038,0.337493397
Inyo,CA,0.424512299,0.55682782
Kern,CA,0.541120337,0.439080287
Kings,CA,0.577672606,0.399359688
Lake,CA,0.427392562,0.556746329
Lassen,CA,0.426246719,0.537007874
Los Angeles,CA,0.543689232,0.44601709
Madera,CA,0.530944328,0.443550599
Marin,CA,0.563896452,0.432716234
Mariposa,CA,0.44062375,0.541783287
Mendocino,CA,0.328231846,0.665309888
Merced,CA,0.529998533,0.45342526
Modoc,CA,0.422556391,0.52481203
Mono,CA,0.432593395,0.56199242
Monterey,CA,0.527913914,0.462976774
Napa,CA,0.533608328,0.458927519
Nevada,CA,0.369074492,0.624243792
Orange,CA,0.519042938,0.472587305
Placer,CA,0.541185296,0.448312078
Plumas,CA,0.440684134,0.536754003
Riverside,CA,0.560832532,0.428217563
Sacramento,CA,0.546052599,0.444342862
San Benito,CA,0.542838284,0.44620462
San Bernardino,CA,0.545960813,0.441571578
San Diego,CA,0.515575691,0.477469638
San Francisco,CA,0.536429184,0.459140489
San Joaquin,CA,0.565149229,0.421850504
San Luis Obispo,CA,0.466696864,0.525840128
San Mateo,CA,0.587183791,0.407625821
Santa Barbara,CA,0.468701371,0.524340116
Santa Clara,CA,0.574675781,0.418693899
Santa Cruz,CA,0.405288521,0.589535538
Shasta,CA,0.453695096,0.52440158
Sierra,CA,0.425047438,0.563567362
Siskiyou,CA,0.380203515,0.600370028
Solano,CA,0.553183581,0.438299935
Sonoma,CA,0.472887339,0.520282397
Stanislaus,CA,0.512378789,0.4708357
Sutter,CA,0.527122642,0.453747379
Tehama,CA,0.459422816,0.514235909
Trinity,CA,0.351097179,0.632706374
Tulare,CA,0.543795915,0.437313312
Tuolumne,CA,0.482433952,0.504777965
Ventura,CA,0.512033181,0.479392808
Yolo,CA,0.482297984,0.51251161
Yuba,CA,0.451332451,0.523719524
California,T,0.530663568,0.460383992
Fairfield,CT,0.603224889,0.3826937
Hartford,CT,0.532778079,0.447917244
Litchfield,CT,0.415551107,0.564368823
Middlesex,CT,0.455705706,0.527080652
New Haven,CT,0.518744095,0.462971475
New London,CT,0.436304808,0.54515286
Tolland,CT,0.384546826,0.59899904
Windham,CT,0.377851976,0.595659432
Connecticut,T,0.518027144,0.464209228
Kent,DE,0.587839462,0.398942562
New Castle,DE,0.595202468,0.397084458
Sussex,DE,0.614254225,0.363764389
Delaware,T,0.597543785,0.391520718
District of Columbia,DC,0.784591308,0.208268977
District of Columbia,T,0.784591308,0.208268977
Alachua,FL,0.490849872,0.489607773
Baker,FL,0.384932313,0.473808122
Bay,FL,0.52579605,0.416666667
Bradford,FL,0.486872409,0.418240442
Brevard,FL,0.597212335,0.376690771
Broward,FL,0.724960881,0.264776345
Calhoun,FL,0.362054681,0.451532726
Charlotte,FL,0.621045392,0.354424576
Citrus,FL,0.562428314,0.392102245
Clay,FL,0.570651014,0.394877268
Collier,FL,0.660972064,0.318776612
Columbia,FL,0.529411765,0.385110294
Desoto,FL,0.525252525,0.387028177
Dixie,FL,0.401768173,0.450884086
Duval,FL,0.670681826,0.306985025
Escambia,FL,0.622204088,0.346155273
Flagler,FL,0.658544405,0.318478145
Franklin,FL,0.470007057,0.456598447
Gadsden,FL,0.76415675,0.199528108
Gilchrist,FL,0.375438596,0.507017544
Glades,FL,0.49871134,0.403350515
Gulf,FL,0.473728107,0.433694746
Hamilton,FL,0.547292419,0.345848375
Hardee,FL,0.527363184,0.391044776
Hendry,FL,0.60639413,0.339098532
Hernando,FL,0.596161535,0.369852059
Highlands,FL,0.614316416,0.340056208
Hillsborough,FL,0.627467725,0.350700911
Holmes,FL,0.28320802,0.517126149
Indian River,FL,0.624129511,0.355250068
Jackson,FL,0.539630627,0.354367064
Jefferson,FL,0.646421663,0.294777563
Lafayette,FL,0.290184922,0.516358464
Lake,FL,0.634387194,0.33789918
Lee,FL,0.626272343,0.350708038
Leon,FL,0.565095468,0.411192214
Levy,FL,0.499840815,0.431709647
Liberty,FL,0.379807692,0.471153846
Madison,FL,0.624445341,0.299717628
Manatee,FL,0.625012927,0.350994519
Marion,FL,0.627215473,0.340640809
Martin,FL,0.598112862,0.376419934
Miami-Dade,FL,0.747236143,0.242636924
Monroe,FL,0.552616642,0.427857873
Nassau,FL,0.562331146,0.398108838
Okaloosa,FL,0.519799727,0.431497497
Okeechobee,FL,0.551724138,0.376915709
Orange,FL,0.638133226,0.350885751
Osceola,FL,0.681801311,0.30042476
Palm Beach,FL,0.714402714,0.272128507
Pasco,FL,0.583275299,0.388546633
Pinellas,FL,0.603096784,0.376459899
Polk,FL,0.63032646,0.332839347
Putnam,FL,0.494177923,0.42648657
St. Johns,FL,0.569524812,0.406803437
St. Lucie,FL,0.668850211,0.308489165
Santa Rosa,FL,0.491703057,0.450904554
Sarasota,FL,0.611160925,0.372770175
Seminole,FL,0.58298591,0.398860098
Sumter,FL,0.680752084,0.292886218
Suwannee,FL,0.421308198,0.443016281
Taylor,FL,0.459925443,0.423112768
Union,FL,0.367213115,0.515846995
Volusia,FL,0.602555296,0.370563722
Wakulla,FL,0.488659794,0.420324006
Walton,FL,0.498355263,0.449671053
Washington,FL,0.471169687,0.428885228
Florida,T,0.644409639,0.332813397
Appling,GA,0.755384615,0.22
Atkinson,GA,0.797619048,0.194444444
Bacon,GA,0.638418079,0.327683616
Baker,GA,0.851540616,0.134453782
Baldwin,GA,0.79372549,0.199738562
Banks,GA,0.49002849,0.481481481
Barrow,GA,0.617273497,0.372142252
Bartow,GA,0.589689078,0.397289397
Ben Hill,GA,0.801644399,0.184994861
Berrien,GA,0.668032787,0.299180328
Bibb,GA,0.827601551,0.168457186
Bleckley,GA,0.777310924,0.205882353
Brantley,GA,0.487544484,0.444839858
Brooks,GA,0.778969957,0.212446352
Bryan,GA,0.633404105,0.35527247
Bulloch,GA,0.606521051,0.388414055
Burke,GA,0.894878706,0.099730458
Butts,GA,0.817375887,0.169326241
Calhoun,GA,0.889483066,0.108734403
Camden,GA,0.665561345,0.326859308
Candler,GA,0.782374101,0.199640288
Carroll,GA,0.61744186,0.376162791
Catoosa,GA,0.508648901,0.480130902
Charlton,GA,0.737265416,0.225201072
Chatham,GA,0.723008785,0.272525957
Chattahoochee,GA,0.8125,0.178571429
Chattooga,GA,0.637485971,0.338945006
Cherokee,GA,0.51862955,0.475588865
Clarke,GA,0.506665716,0.490340058
Clay,GA,0.858789625,0.126801153
Clayton,GA,0.816431864,0.180386938
Clinch,GA,0.795238095,0.180952381
Cobb,GA,0.63466234,0.361755446
Coffee,GA,0.769880366,0.217452498
Colquitt,GA,0.761029412,0.222058824
