county,state,diversity_index
AleutiansEastBorough,AK,0.673066
AleutiansWestCensusArea,AK,0.671218
AnchorageMunicipality,AK,0.64104
BethelCensusArea,AK,0.572375
BristolBayBorough,AK,0.555075
DenaliBorough,AK,0.47965
DillinghamCensusArea,AK,0.474835
FairbanksNorthStarBorough,AK,0.45099
HainesBorough,AK,0.386012
Hoonah-AngoonCensusArea,AK,0.350192
JuneauandBorough,AK,0.299333
KenaiPeninsulaBorough,AK,0.293764
KetchikanGatewayBorough,AK,0.289088
KodiakIslandBorough,AK,0.280181
LakeandPeninsulaBorough,AK,0.272611
Matanuska-SusitnaBorough,AK,0.218882
NomeCensusArea,AK,0.166345
NorthSlopeBorough,AK,0.164986
NorthwestArcticBorough,AK,0.164356
PetersburgCensusArea,AK,0.144731
PrinceofWales-HyderCensusArea,AK,0.129916
SitkaandBorough,AK,0.09873
SkagwayMunicipality,AK,0.098688
SoutheastFairbanksCensusArea,AK,0.096877
Valdez-CordovaCensusArea,AK,0.076097
WadeHamptonCensusArea,AK,0.074113
WrangellandBorough,AK,0.047222
YakutatandBorough,AK,0.04337
Yukon-KoyukukCensusArea,AK,0.037544
Autauga,AL,0.6011
Baldwin,AL,0.597774
Barbour,AL,0.5916
Bibb,AL,0.572213
Blount,AL,0.568373
Bullock,AL,0.54832
Butler,AL,0.547169
Calhoun,AL,0.542337
Chambers,AL,0.529877
Cherokee,AL,0.525809
Chilton,AL,0.52337
Choctaw,AL,0.522788
Clarke,AL,0.520264
Clay,AL,0.51843
Cleburne,AL,0.514744
Coffee,AL,0.512362
Colbert,AL,0.511982
Conecuh,AL,0.506501
Coosa,AL,0.505207
Covington,AL,0.502885
Crenshaw,AL,0.498754
Cullman,AL,0.496912
Dale,AL,0.492293
Dallas,AL,0.491441
DeKalb,AL,0.482254
Elmore,AL,0.457992
Escambia,AL,0.45543
Etowah,AL,0.451731
Fayette,AL,0.446872
Franklin,AL,0.436062
Geneva,AL,0.417374
Greene,AL,0.396877
Hale,AL,0.385675
Henry,AL,0.358706
Houston,AL,0.347198
Jackson,AL,0.323928
Jefferson,AL,0.317488
Lamar,AL,0.271228
Lauderdale,AL,0.266177
Lawrence,AL,0.264651
Lee,AL,0.262171
Limestone,AL,0.25437
Lowndes,AL,0.242084
Macon,AL,0.238134
Madison,AL,0.234954
Marengo,AL,0.229977
Marion,AL,0.226886
Marshall,AL,0.223297
Mobile,AL,0.193176
Monroe,AL,0.192307
Montgomery,AL,0.187473
Morgan,AL,0.183388
Perry,AL,0.146185
Pickens,AL,0.143207
Pike,AL,0.141661
Randolph,AL,0.124535
Russell,AL,0.115157
Shelby,AL,0.102404
St.Clair,AL,0.096683
Sumter,AL,0.089231
Talladega,AL,0.08735
Tallapoosa,AL,0.087349
Tuscaloosa,AL,0.079849
Walker,AL,0.073968
Washington,AL,0.06844
Wilcox,AL,0.056892
Winston,AL,0.051112
