county,state,Clinton,Trump
Autauga,AL,0.237696712,0.727665879
Baldwin,AL,0.19385601,0.765457123
Barbour,AL,0.465278441,0.520966663
Bibb,AL,0.212495748,0.764032203
Blount,AL,0.084258246,0.893348445
Bullock,AL,0.749469214,0.242038217
Butler,AL,0.426706367,0.561268896
Calhoun,AL,0.276658867,0.68663296
Chambers,AL,0.416115108,0.564244604
Cherokee,AL,0.144134911,0.83415634
Chilton,AL,0.158473515,0.821002776
Choctaw,AL,0.426357652,0.56308283
Clarke,AL,0.441178728,0.547924181
Clay,AL,0.186745169,0.791817633
Cleburne,AL,0.103746398,0.874260579
Coffee,AL,0.203255164,0.764433958
Colbert,AL,0.293477825,0.672125226
Conecuh,AL,0.467729689,0.519362187
Coosa,AL,0.339299315,0.64375476
Covington,AL,0.149749059,0.832308657
Crenshaw,AL,0.265517792,0.72012127
Cullman,AL,0.100282523,0.871042695
Dale,AL,0.235372553,0.736465945
Dallas,AL,0.68305662,0.30805662
DeKalb,AL,0.140246263,0.828815922
Elmore,AL,0.226596887,0.741653247
Escambia,AL,0.310205456,0.669248905
Etowah,AL,0.236436917,0.732564985
Fayette,AL,0.165110923,0.813674385
Franklin,AL,0.182475083,0.786212625
Geneva,AL,0.129698928,0.849974485
Greene,AL,0.822336066,0.171721311
Hale,AL,0.593905473,0.394651741
Henry,AL,0.2839445,0.697720515
Houston,AL,0.250099674,0.7206548
Jackson,AL,0.175038124,0.794510103
Jefferson,AL,0.515705593,0.443037434
Lamar,AL,0.148722366,0.835917313
Lauderdale,AL,0.251790006,0.705857052
Lawrence,AL,0.244588307,0.730528019
Lee,AL,0.358669392,0.584835532
Limestone,AL,0.234972949,0.721372909
Lowndes,AL,0.730550569,0.261968881
Macon,AL,0.827789934,0.156564551
Madison,AL,0.384493448,0.547894901
Marengo,AL,0.510733127,0.475986902
Marion,AL,0.110289587,0.868299445
Marshall,AL,0.139228678,0.827755125
Mobile,AL,0.417895413,0.550640569
Monroe,AL,0.421770032,0.564209911
Montgomery,AL,0.614489247,0.354648616
Morgan,AL,0.222217834,0.740186399
Perry,AL,0.724516862,0.266578249
Pickens,AL,0.416264934,0.571787885
Pike,AL,0.383961118,0.58421932
Randolph,AL,0.224894473,0.75635614
Russell,AL,0.497455339,0.47829248
St. Clair,AL,0.145546875,0.824244792
Shelby,AL,0.226924368,0.721156695
