county,state,Obama_08,McCain_08
Autauga,Alabama,"6,091","17,398"
Baldwin,Alabama,"19,362","61,192"
Barbour,Alabama,"5,685","5,862"
Bibb,Alabama,"2,289","6,247"
Blount,Alabama,"3,518","20,362"
Bullock,Alabama,"4,001","1,389"
Butler,Alabama,"4,174","5,472"
Calhoun,Alabama,"16,325","32,326"
Chambers,Alabama,"6,782","8,060"
Cherokee,Alabama,"2,299","7,285"
Chilton,Alabama,"3,666","13,934"
Choctaw,Alabama,"3,633","4,220"
Clarke,Alabama,"5,907","7,455"
Clay,Alabama,"1,722","4,946"
Cleburne,Alabama,"1,166","5,204"
Coffee,Alabama,"5,068","14,909"
Colbert,Alabama,"9,698","14,729"
Conecuh,Alabama,"3,411","3,461"
Coosa,Alabama,"2,269","3,245"
Covington,Alabama,"3,238","12,431"
Crenshaw,Alabama,"1,938","4,316"
Cullman,Alabama,"5,855","28,837"
Dale,Alabama,"5,257","13,873"
Dallas,Alabama,"13,958","6,791"
DeKalb,Alabama,"5,654","17,951"
Elmore,Alabama,"8,268","25,695"
Escambia,Alabama,"5,176","9,365"
Etowah,Alabama,"13,480","30,562"
Fayette,Alabama,"1,988","5,875"
Franklin,Alabama,"3,469","8,048"
Geneva,Alabama,"2,106","9,314"
Greene,Alabama,"4,402",876
Hale,Alabama,"4,969","3,196"
Henry,Alabama,"2,990","5,558"
Houston,Alabama,"12,194","29,205"
Jackson,Alabama,"6,367","14,068"
Jefferson,Alabama,"166,015","149,843"
Lamar,Alabama,"1,614","5,419"
Lauderdale,Alabama,"13,318","24,050"
Lawrence,Alabama,"5,159","9,269"
Lee,Alabama,"21,410","32,344"
Limestone,Alabama,"9,530","23,588"
Lowndes,Alabama,"5,447","1,807"
Macon,Alabama,"9,444","1,396"
Madison,Alabama,"64,062","86,910"
Marengo,Alabama,"5,925","5,511"
Marion,Alabama,"2,597","9,530"
Marshall,Alabama,"7,021","25,680"
Mobile,Alabama,"81,741","97,670"
Monroe,Alabama,"5,023","6,173"
Montgomery,Alabama,"61,999","41,972"
Morgan,Alabama,"13,882","35,986"
Perry,Alabama,"4,423","1,676"
Pickens,Alabama,"4,584","5,426"
Pike,Alabama,"5,856","7,981"
Randolph,Alabama,"3,062","7,169"
Russell,Alabama,"10,078","8,700"
Shelby,Alabama,"20,575","68,945"
St.Clair,Alabama,"6,088","27,630"
Sumter,Alabama,"5,218","1,723"
Talladega,Alabama,"13,769","20,109"
Tallapoosa,Alabama,"6,052","13,105"
Tuscaloosa,Alabama,"32,738","45,351"
Walker,Alabama,"7,418","20,719"
Washington,Alabama,"3,032","5,592"
Wilcox,Alabama,"4,553","1,849"
Winston,Alabama,"1,756","8,099"
Alaska,Alaska,"80,505","136,585"
Apache,Arizona,"15,141","8,381"
Cochise,Arizona,"17,944","27,590"
Coconino,Arizona,"27,064","19,449"
Gila,Arizona,"7,566","13,425"
Graham,Arizona,"3,487","8,375"
Greenlee,Arizona,"1,165","1,711"
LaPaz,Arizona,"1,794","3,302"
Maricopa,Arizona,"542,206","675,027"
Mohave,Arizona,"21,286","42,729"
Navajo,Arizona,"14,953","19,199"
Pima,Arizona,"191,465","168,670"
Pinal,Arizona,"42,905","57,714"
SantaCruz,Arizona,"8,680","4,517"
Yavapai,Arizona,"34,731","58,043"
Yuma,Arizona,"17,679","23,658"
Arkansas,Arkansas,"2,616","4,184"
Ashley,Arkansas,"2,883","5,166"
Baxter,Arkansas,"6,531","12,841"
Benton,Arkansas,"23,412","50,855"
Boone,Arkansas,"4,429","10,559"
