state ,county,Obama_12,Romney_12
AK,Alaska,91696,121234
AK,Alaska,91696,121234
AL,Alabama,793620,1252453
AL,Autauga,6354,17366
AL,Baldwin,18329,65772
AL,Barbour,5873,5539
AL,Bibb,2200,6131
AL,Blount,2961,20741
AL,Bullock,4058,1250
AL,Butler,4367,5081
AL,Calhoun,15500,30272
AL,Chambers,6853,7596
AL,Cherokee,2126,7494
AL,Chilton,3391,13910
AL,Choctaw,3785,4150
AL,Clarke,6317,7463
AL,Clay,1770,4802
AL,Cleburne,971,5269
AL,Coffee,4899,14638
AL,Colbert,9160,13931
AL,Conecuh,3551,3434
AL,Coosa,2188,3028
AL,Covington,3155,12148
AL,Crenshaw,2048,4326
AL,Cullman,4855,27930
AL,Dale,5283,13105
AL,Dallas,14599,6284
AL,DeKalb,5235,18316
AL,Elmore,8940,26223
AL,Escambia,5476,9263
AL,Etowah,12792,29102
AL,Fayette,1803,6034
AL,Franklin,3171,7567
AL,Geneva,2039,9173
AL,Greene,4514,799
AL,Hale,5401,3205
AL,Henry,3046,5605
AL,Houston,12348,29214
AL,Jackson,5817,14422
AL,Jefferson,159658,141413
AL,Lamar,1643,5453
AL,Lauderdale,12504,23902
AL,Lawrence,5055,8855
AL,Lee,21274,32062
AL,Limestone,9809,25263
AL,Lowndes,5747,1754
AL,Macon,9045,1322
AL,Madison,61802,90679
AL,Marengo,6154,5321
AL,Marion,2249,9696
AL,Marshall,6271,25785
AL,Mobile,78417,94566
AL,Monroe,4897,5730
AL,Montgomery,62993,38283
AL,Morgan,13401,35309
AL,Perry,4536,1504
AL,Pickens,4448,5119
AL,Pike,6009,7939
AL,Randolph,3076,7219
AL,Russell,10495,8276
AL,St.Clair,5790,29001
AL,Shelby,19944,71243
AL,Sumter,5420,1585
AL,Talladega,13878,19217
AL,Tallapoosa,6252,12303
AL,Tuscaloosa,32003,45703
AL,Walker,6551,21633
AL,Washington,2971,5749
AL,Wilcox,4867,1676
AL,Winston,1286,8310
AR,Arkansas,2454,3892
AR,Ashley,2855,4866
AR,Baxter,5172,13688
AR,Benton,22144,53477
AR,Boone,3762,11143
AR,Bradley,1447,2118
AR,Calhoun,660,1458
AR,Carroll,3691,6121
AR,Chicot,2649,1670
AR,Clark,3808,4343
AR,Clay,1738,3225
AR,Cleburne,2618,8691
AR,Cleveland,845,2313
AR,Columbia,3557,5790
AR,Conway,3003,4511
AR,Craighead,10351,20044
AR,Crawford,4872,15125
AR,Crittenden,9092,6192
AR,Cross,2279,4268
AR,Dallas,1337,1664
AR,Desha,2353,1807
AR,Drew,2627,3883
AR,Faulkner,13559,26653
AR,Franklin,1725,4631
AR,Fulton,1452,2949
AR,Garland,13317,25031
AR,Grant,1467,4829
AR,Greene,3998,9066
AR,Hempstead,2466,4284
AR,HotSpring,3824,7087
AR,Howard,1460,2862
AR,Independence,3279,8724
AR,Izard,1563,3571
AR,Jackson,2093,3065
AR,Jefferson,17456,9515
AR,Johnson,2785,5045
AR,Lafayette,1173,1712
AR,Lawrence,1786,3535
AR,Lee,2107,1280
AR,Lincoln,1424,2199
AR,LittleRiver,1552,3385
AR,Logan,2009,5078
AR,Lonoke,5612,17863
AR,Madison,2099,4262
AR,Marion,2024,4771
AR,Miller,4518,10622
AR,Mississippi,6445,6599
AR,Monroe,1583,1585
AR,Montgomery,920,2368
AR,Nevada,1314,1996
AR,Newton,993,2508
AR,Ouachita,4626,5516
AR,Perry,1187,2580
AR,Phillips,5179,2591
AR,Pike,850,2847
AR,Poinsett,2387,4967
AR,Polk,1556,5950
AR,Pope,5108,14733
AR,Prairie,877,2149
AR,Pulaski,87055,68856
AR,Randolph,2040,3699
AR,SaintFrancis,4652,3287
AR,Saline,12868,32962
AR,Scott,895,2630
AR,Searcy,814,2699
AR,Sebastian,13083,29158
AR,Sevier,1042,3135
AR,Sharp,2092,4920
AR,Stone,1356,3773
AR,Union,6182,10696
AR,VanBuren,1826,4362
AR,Washington,28136,39570
AR,White,5765,20005
AR,Woodruff,1340,1227
AR,Yell,1720,4041
AZ,Arizona,900081,1107130
AZ,Apache,16833,8198
AZ,Cochise,16223,26742
AZ,Coconino,26316,19368
AZ,Gila,6650,11525
AZ,Graham,3608,8076
AZ,Greenlee,1310,1590
AZ,LaPaz,1619,3205
AZ,Maricopa,512008,654835
AZ,Mohave,18324,46442
AZ,Navajo,16157,19155
AZ,Pima,183470,162927
AZ,Pinal,41428,58947
AZ,SantaCruz,9486,4235
AZ,Yavapai,32624,62385
AZ,Yuma,14025,19500
CA,California,6241648,4046524
CA,Alameda,438091,104330
CA,Alpine,389,236
CA,Amador,6001,8903
CA,Butte,32567,35312
CA,Calaveras,7404,10537
CA,Colusa,2248,3521
CA,ContraCosta,230826,112547
CA,DelNorte,3396,4256
CA,ElDorado,34033,49661
CA,Fresno,85862,91143
CA,Glenn,3276,5608
CA,Humboldt,27757,15653
CA,Imperial,17464,9545
CA,Inyo,2775,3541
CA,Kern,64690,99840
CA,Kings,12282,17184
CA,Lake,9159,6474
CA,Lassen,3044,7261
CA,LosAngeles,1672164,699600
CA,Madera,12698,18990
CA,Marin,73450,23347
CA,Mariposa,3080,4434
CA,Mendocino,11869,5129
CA,Merced,26128,23403
CA,Modoc,1113,2779
CA,Mono,2574,2202
CA,Monterey,51712,25087
CA,Napa,19964,11647
CA,Nevada,14261,15696
CA,Orange,457077,541592
CA,Placer,49126,74460
CA,Plumas,3670,5240
CA,Riverside,287754,290227
CA,Sacramento,221063,157688
CA,SanBenito,8617,6052
CA,SanBernardino,274203,245468
CA,SanDiego,478386,431046
CA,SanFrancisco,267857,42654
CA,SanJoaquin,80005,66742
CA,SanLuisObispo,57655,56500
CA,SanMateo,151036,56244
CA,SantaBarbara,84279,59096
CA,SantaClara,343239,136347
CA,SantaCruz,61106,17132
CA,Shasta,18184,34561
CA,Sierra,652,1056
CA,Siskiyou,7110,9844
CA,Solano,87225,48364
CA,Sonoma,124504,45666
CA,Stanislaus,70609,69549
CA,Sutter,8004,12576
CA,Tehama,6032,10791
CA,Trinity,2367,2422
CA,Tulare,29191,42186
CA,Tuolumne,9628,13410
CA,Ventura,138119,123919
CA,Yolo,38856,19080
CA,Yuba,5817,8746
CO,Colorado,5807,1238490
CO,Adams,523,90843
CO,Alamosa,31,3782
CO,Arapahoe,560,135433
CO,Archuleta,23,2637
CO,Baca,19,462
CO,Bent,8,778
CO,Boulder,252,120485
CO,Broomfield,76,16653
CO,Chaffee,33,4967
CO,Cheyenne,6,162
CO,ClearCreek,13,3041
CO,Conejos,11,2180
CO,Costilla,14,1317
CO,Crowley,8,535
CO,Custer,9,862
CO,Delta,58,4542
CO,Denver,387,209759
CO,Dolores,6,329
CO,Douglas,200,54093
CO,Eagle,23,12598
CO,Elbert,43,3542
CO,ElPaso,764,104989
CO,Fremont,88,6644
CO,Garfield,53,10989
CO,Gilpin,8,1854
CO,Grand,23,3575
CO,Gunnison,21,4563
CO,Hinsdale,4,228
CO,Huerfano,12,1897
CO,Jackson,5,216
CO,Jefferson,598,153069
CO,Kiowa,3,118
CO,KitCarson,12,789
CO,Lake,16,1807
CO,LaPlata,55,15063
CO,Larimer,409,83103
CO,LasAnimas,15,3282
CO,Lincoln,9,537
CO,Logan,45,2675
CO,Mesa,185,22448
CO,Mineral,1,291
CO,Moffat,25,1291
CO,Montezuma,33,4486
CO,Montrose,73,5852
CO,Morgan,51,3761
CO,Otero,36,3566
CO,Ouray,10,1640
CO,Park,48,3721
CO,Phillips,4,588
CO,Pitkin,7,6648
CO,Prowers,13,1498
CO,Pueblo,233,40624
CO,RioBlanco,15,561
CO,RioGrande,25,2428
CO,Routt,18,7389
CO,Saguache,10,1762
CO,SanJuan,3,266
CO,SanMiguel,12,2961
CO,Sedgwick,5,419
CO,Summit,21,9169
CO,Teller,40,3894
CO,Washington,9,461
CO,Weld,469,47418
CO,Yuma,18,950
CT,Connecticut,631432,912531
CT,Andover,724,904
CT,Ansonia,2596,4273
CT,Ashford,803,1331
CT,Avon,5537,6305
CT,Barkhamsted,1033,1033
CT,BeaconFalls,1598,1300
CT,Berlin,5361,5499
CT,Bethany,1536,1615
CT,Bethel,4445,4777
CT,Bethlehem,1272,894
CT,Bloomfield,1925,9917
CT,Bolton,1434,1433
CT,Bozrah,606,648
CT,Branford,5817,8301
CT,Bridgeport,5168,32135
CT,Bridgewater,641,529
CT,Bristol,10548,13283
CT,Brookfield,4941,3916
CT,Brooklyn,1570,1743
CT,Burlington,2683,2357
CT,Canaan,210,384
CT,Canterbury,1294,1197
CT,Canton,2742,2967
CT,Chaplin,466,584
CT,Cheshire,7271,7355
CT,Chester,707,1380
CT,Clinton,2926,3607
CT,Colchester,3579,4125
CT,Colebrook,462,380
CT,Columbia,1316,1714
CT,Cornwall,250,629
CT,Coventry,2621,3538
CT,Cromwell,3193,4063
CT,Danbury,10590,15290
CT,Darien,6220,3182
CT,DeepRiver,932,1479
CT,Derby,2032,2597
CT,Durham,1985,2013
CT,Eastford,465,464
CT,EastGranby,1448,1389
CT,EastHaddam,2109,2471
CT,EastHampton,3138,3509
CT,EastHartford,4272,13000
CT,EastHaven,4650,6533
CT,EastLyme,3450,4808
CT,Easton,2380,1841
CT,EastWindsor,2250,3072
CT,Ellington,3894,3598
CT,Enfield,7703,10145
CT,Essex,1701,2230
CT,Fairfield,14352,15282
CT,Farmington,6610,7012
CT,Franklin,516,519
CT,Glastonbury,8809,10135
CT,Goshen,1017,749
CT,Granby,3221,3079
CT,Greenwich,14368,11137
CT,Griswold,2166,2581
CT,Groton,5367,8384
CT,Guilford,5170,7411
CT,Haddam,2230,2346
CT,Hamden,7482,19181
CT,Hampton,413,601
CT,Hartford,2138,31735
CT,Hartland,778,414
CT,Harwinton,1924,1260
CT,Hebron,2471,2606
CT,Kent,606,1080
CT,Killingly,2653,3255
CT,Killingworth,1840,1921
CT,Lebanon,1685,1878
CT,Ledyard,3209,3564
CT,Lisbon,890,1125
CT,Litchfield,2403,2151
CT,Lyme,593,856
CT,Madison,5193,5293
CT,Manchester,7961,15565
CT,Mansfield,2193,6941
CT,Marlborough,1668,1791
CT,Meriden,6880,14886
CT,Middlebury,2865,1675
CT,Middlefield,1168,1334
CT,Middletown,6105,13830
CT,Milford,11461,13668
CT,Monroe,5757,4446
CT,Montville,3115,4014
CT,Morris,747,542
CT,Naugatuck,5807,5923
CT,NewBritain,4782,16051
CT,NewCanaan,6966,3804
CT,NewFairfield,4288,3323
CT,NewHartford,2056,1759
CT,NewHaven,4430,39865
CT,Newington,5752,8792
CT,NewLondon,1654,6710
CT,NewMilford,6330,6640
CT,Newtown,7591,6822
CT,Norfolk,384,556
CT,NorthBranford,3290,3375
CT,NorthCanaan,552,706
CT,NorthHaven,5990,6376
CT,NorthStonington,1279,1383
CT,Norwalk,12773,22369
CT,Norwich,4144,8542
CT,OldLyme,1958,2561
CT,OldSaybrook,2753,3101
CT,Orange,4206,3607
CT,Oxford,3905,2599
CT,Plainfield,2378,2957
CT,Plainville,3320,4545
CT,Plymouth,2713,2553
CT,Pomfret,1012,1103
CT,Portland,2141,2664
CT,Preston,1186,1165
CT,Prospect,3235,1839
CT,Putnam,1507,1839
CT,Redding,2503,2787
CT,Ridgefield,7360,6461
CT,RockyHill,4029,5173
CT,Roxbury,706,758
CT,Salem,996,1098
CT,Salisbury,659,1552
CT,Scotland,415,408
CT,Seymour,3630,3447
CT,Sharon,519,902
CT,Shelton,10327,8362
CT,Sherman,1049,1020
CT,Simsbury,6710,6853
CT,Somers,2837,2055
CT,Southbury,5626,4424
CT,Southington,10452,10727
CT,SouthWindsor,5774,7708
CT,Sprague,655,724
CT,Stafford,2491,3018
CT,Stamford,17473,29623
CT,Sterling,711,655
CT,Stonington,3884,5642
CT,Stratford,9324,13483
CT,Suffield,3863,3332
CT,Thomaston,2144,1556
