county_state,sk09,sk05
"Autauga, AL",-0.326729733,-0.718073464
"Baldwin, AL",-0.422958353,-0.868674817
"Barbour, AL",-1.196517104,-1.486606144
"Bibb, AL",-0.951096825,-1.540170542
"Blount, AL",-1.303935099,-1.431489153
"Bullock, AL",-0.10070437,-1.485829848
"Butler, AL",-0.098466495,-0.401344844
"Calhoun, AL",-0.442353269,-0.697889777
"Chambers, AL",-0.296145443,-0.82364967
"Cherokee, AL",-1.361373887,-2.023026428
"Chilton, AL",-0.658681174,-1.093800552
"Choctaw, AL",0.672108423,-0.282571612
"Clarke, AL",0.562452554,-0.348556741
"Clay, AL",-0.70866038,-0.725060124
"Cleburne, AL",-1.197263063,-1.463317275
"Coffee, AL",-0.611685801,-0.778624523
"Colbert, AL",-0.209614281,-0.284900499
"Conecuh, AL",-0.304350984,-0.884977025
"Coosa, AL",-0.247658154,-1.641088975
"Covington, AL",-0.682551839,-0.832965218
"Crenshaw, AL",-0.549771263,-1.075169456
"Cullman, AL",-0.951842784,-0.705652733
"Dale, AL",-0.802651125,-1.130286447
"Dallas, AL",0.296891401,-0.554275084
"De Kalb, AL",-1.527722587,-1.412858058
"Elmore, AL",-0.877246954,-1.266914479
"Escambia, AL",-0.578117678,-1.233533766
"Etowah, AL",-0.336427191,-0.398239661
"Fayette, AL",-0.672854382,-0.629575761
"Franklin, AL",-1.354660263,-0.974251024
"Geneva, AL",-1.075671861,-1.167548637
"Greene, AL",0.361789773,-0.820544488
"Hale, AL",-0.901863578,-1.7257052
"Henry, AL",0.178284032,-0.419975939
"Houston, AL",-0.54678743,-0.778624523
"Jackson, AL",-1.362865804,-1.46952764
"Jefferson, AL",0.332697399,0.020959982
"Lamar, AL",-0.940653409,-0.908265895
"Lauderdale, AL",0.037297915,-0.505368459
"Lawrence, AL",-0.916036786,-0.988224345
"Lee, AL",-1.097304651,-1.48893503
"Limestone, AL",-1.086861235,-0.93931772
"Lowndes, AL",0.466969892,-1.075945752
"Macon, AL",-0.002983833,-1.338333677
"Madison, AL",-0.372979147,-0.28101902
"Marengo, AL",0.996600281,0.192521318
"Marion, AL",-1.009281572,-0.898950347
"Marshall, AL",-1.349438555,-1.308834443
"Mobile, AL",-0.299129276,-0.712639394
"Monroe, AL",0.21409003,-1.075169456
"Montgomery, AL",0.384168522,0.0178548
"Morgan, AL",-0.613923676,-0.534867693
"Perry, AL",0.645253925,-0.671495725
"Pickens, AL",0.264815195,-0.324491576
"Pike, AL",-0.580355553,-1.068959091
"Randolph, AL",-0.913798911,-1.499026874
"Russell, AL",-1.132364691,-1.401989919
"St. Clair, AL",-1.187565605,-1.270795957
"Shelby, AL",-0.54231168,-0.410660392
"Sumter, AL",0.828013707,-0.117996937
"Talladega, AL",-0.849646497,-1.370161798
"Tallapoosa, AL",-0.487856725,-0.777071932
"Tuscaloosa, AL",-0.566928304,-0.728941603
"Walker, AL",-0.661665007,-0.810452644
"Washington, AL",0.268544986,-0.475092929
"Wilcox, AL",0.348362523,-0.843833357
"Winston, AL",-0.945129159,-1.384911415
"Apache, AZ",-1.787316073,-2.227192181
"Cochise, AZ",-1.076417819,-1.224994514
"Coconino, AZ",-0.758639585,-0.961053998
"Gila, AZ",-0.639286258,-1.264585592
"Graham, AZ",-1.851468487,-1.776164416
"Greenlee, AZ",-1.156981315,-0.634233535
"La Paz, AZ",-2.050639351,-3.256560194
"Maricopa, AZ",-1.812678655,-1.752099251
"Mohave, AZ",-1.843262945,-2.132484113
"Navajo, AZ",-1.591129042,-2.268335849
"Pima, AZ",-1.43000205,-1.119418308
"Pinal, AZ",-2.358720127,-2.789230221
"Santa Cruz, AZ",-1.814170572,-2.054078254
"Yavapai, AZ",-0.613923676,-0.761546019
"Yuma, AZ",-2.804803187,-3.126142528
"Arkansas, AR",-0.104434161,-0.175442814
"Ashley, AR",-0.397595771,-0.607839483
"Baxter, AR",-0.640778175,-0.353214515
"Benton, AR",-1.361373887,-1.240520427
"Boone, AR",-0.369995314,-0.081511042
"Bradley, AR",-0.741482545,-0.678482386
"Calhoun, AR",-0.342394857,-1.232757471
"Carroll, AR",-0.41102302,-0.513131416
"Chicot, AR",-0.077579663,-0.877990365
"Clark, AR",0.014173208,0.111010276
"Clay, AR",-1.013011364,-0.818991896
"Cleburne, AR",-0.182013824,-0.183982066
"Cleveland, AR",-0.674346298,-0.883424434
"Columbia, AR",-0.315540359,-0.6404439
"Conway, AR",-0.721341671,-0.975803615
"Craighead, AR",-1.514295338,-1.154351611
"Crawford, AR",-1.568004335,-1.199376758
"Crittenden, AR",-1.228593311,-1.845254728
"Cross, AR",-0.555738929,-0.537972876
"Dallas, AR",0.13128866,-0.432396669
"Desha, AR",-0.144715909,-0.421528531
"Drew, AR",-0.458018393,-0.902831825
"Faulkner, AR",-1.24649631,-1.139601994
"Franklin, AR",-1.248734185,-0.910594781
"Fulton, AR",-1.333027472,-1.058090952
"Garland, AR",-0.391628105,-0.480526999
"Grant, AR",-1.019724988,-0.719626055
"Greene, AR",-1.535928128,-0.989000641
"Hempstead, AR",-1.39941776,-1.86621471
"Hot Spring, AR",-0.880230787,-0.733599376
"Howard, AR",-0.656443299,-1.068182796
"Independence, AR",-0.910069119,-0.40212114
"Izard, AR",-0.234230904,-0.021736278
"Jackson, AR",-1.247988227,-1.247507088
"Jefferson, AR",-0.428926019,-0.659074995
"Johnson, AR",-1.47401359,-1.365504024
"Lafayette, AR",-1.156981315,-1.59218235
"Lawrence, AR",-1.216657978,-0.899726643
"Lee, AR",-1.046579487,-1.179969367
"Lincoln, AR",-2.034228269,-2.311032109
"Little River, AR",-0.657189257,-0.895845164
"Logan, AR",-0.878738871,-0.880319252
"Lonoke, AR",-1.597842667,-1.076722048
"Madison, AR",-1.010773489,-0.870227408
"Marion, AR",-0.681805881,-1.212573784
"Miller, AR",-1.195771146,-1.240520427
"Mississippi, AR",-1.473267631,-1.757533321
"Monroe, AR",-0.267053069,-0.488289955
"Montgomery, AR",-1.184581772,-1.179969367
"Nevada, AR",-0.118607369,-0.676153499
"Newton, AR",-0.452050726,-0.41454187
"Ouachita, AR",-0.353584232,-0.388924114
"Perry, AR",-0.810856666,-0.913699964
"Phillips, AR",-0.12233716,-0.683916456
"Pike, AR",-1.147283857,-1.916673926
"Poinsett, AR",-1.525484712,-1.559577933
"Polk, AR",-0.410277062,-0.410660392
"Pope, AR",-0.89216612,-0.766203793
"Prairie, AR",-0.702692713,-0.711863099
"Pulaski, AR",0.207376406,0.309741959
"Randolph, AR",-1.397925844,-1.245178201
"St. Francis, AR",-1.312886598,-1.329018129
"Saline, AR",-0.941399368,-0.753006767
"Scott, AR",-0.882468662,-0.932331059
"Searcy, AR",-0.25810157,-0.72583642
"Sebastian, AR",-1.037627988,-0.587655797
"Sevier, AR",-1.654535497,-1.275453731
"Sharp, AR",-0.0089515,-0.547288424
"Stone, AR",-0.528884431,-0.200284274
"Union, AR",0.294653526,-0.047354034
"Van Buren, AR",0.106672036,0.166903562
"Washington, AR",-1.296475516,-0.943199198
"White, AR",-1.321838098,-1.159785681
"Woodruff, AR",-0.318524192,-0.777071932
"Yell, AR",-1.732861118,-1.671364505
"Alameda, CA",-0.947367034,-0.839175583
"Alpine, CA",1.973059689,0.644325378
"Amador, CA",-0.533360181,-0.460343312
"Butte, CA",-0.872771204,-0.662180178
"Calaveras, CA",-0.151429534,-0.507697346
"Colusa, CA",-1.68810362,-1.591406054
"Contra Costa, CA",-1.099542526,-0.766203793
"Del Norte, CA",-1.811932697,-1.6899956
"El Dorado, CA",-0.481889058,-0.671495725
"Fresno, CA",-2.001406104,-1.889503579
"Glenn, CA",-1.167424731,-0.922239216
"Humboldt, CA",-0.09622862,0.212705004
"Imperial, CA",-2.68544986,-2.840465733
"Inyo, CA",0.687027589,0.704876438
"Kern, CA",-2.190879511,-2.058736028
"Kings, CA",-2.799581479,-2.730231753
"Lake, CA",-1.122667233,-1.522315743
"Lassen, CA",-1.62693504,-2.172851486
"Los Angeles, CA",-1.750764117,-1.735020747
"Madera, CA",-2.205798677,-2.088235262
"Marin, CA",0.469953725,0.828307444
"Mariposa, CA",0.202154698,-0.303531594
"Mendocino, CA",-0.047741331,-0.22590203
"Merced, CA",-2.428094248,-2.231849954
"Modoc, CA",-0.033568123,-0.561261745
"Mono, CA",-0.719849754,-1.661272662
"Monterey, CA",-1.754493908,-1.658943775
"Napa, CA",-0.709406338,-0.347780445
"Nevada, CA",0.256609653,-0.107128798
"Orange, CA",-1.476997423,-1.216455262
"Placer, CA",-0.523662723,-0.343122671
"Plumas, CA",1.563528585,0.797255619
"Riverside, CA",-2.202068885,-2.154220391
"Sacramento, CA",-1.162203023,-1.258375227
"San Benito, CA",-1.498630213,-1.466422457
"San Bernardino, CA",-2.149851804,-2.181390738
"San Diego, CA",-1.297221474,-1.096905734
"San Francisco, CA",-0.22304153,0.013197026
"San Joaquin, CA",-1.982757147,-1.925213178
"San Luis Obispo, CA",-0.328967608,-0.109457685
"San Mateo, CA",-1.168916647,-0.789492662
"Santa Barbara, CA",-0.665394799,-0.337688602
