Geography,Median_hh_income_2008
"Autauga County, Alabama",50837
"Baldwin County, Alabama",50626
"Barbour County, Alabama",32509
"Bibb County, Alabama",43882
"Blount County, Alabama",46129
"Butler County, Alabama",32629
"Calhoun County, Alabama",39055
"Chambers County, Alabama",34925
"Cherokee County, Alabama",42020
"Chilton County, Alabama",37316
"Clarke County, Alabama",26422
"Coffee County, Alabama",41130
"Colbert County, Alabama",39910
"Covington County, Alabama",33518
"Cullman County, Alabama",39089
"Dale County, Alabama",43294
"Dallas County, Alabama",26883
"DeKalb County, Alabama",33147
"Elmore County, Alabama",54558
"Escambia County, Alabama",32870
"Etowah County, Alabama",35966
"Franklin County, Alabama",32098
"Geneva County, Alabama",32951
"Houston County, Alabama",41739
"Jackson County, Alabama",37269
"Jefferson County, Alabama",46063
"Lauderdale County, Alabama",38508
"Lawrence County, Alabama",44571
"Lee County, Alabama",41694
"Limestone County, Alabama",46335
"Macon County, Alabama",27492
"Madison County, Alabama",54555
"Marengo County, Alabama",31321
"Marion County, Alabama",32633
"Marshall County, Alabama",36676
"Mobile County, Alabama",40667
"Monroe County, Alabama",29982
"Montgomery County, Alabama",43751
"Morgan County, Alabama",44567
"Pike County, Alabama",28477
"Randolph County, Alabama",35625
"Russell County, Alabama",30785
"St. Clair County, Alabama",49692
"Shelby County, Alabama",70579
"Talladega County, Alabama",36881
"Tallapoosa County, Alabama",34525
"Tuscaloosa County, Alabama",41724
"Walker County, Alabama",36614
"Winston County, Alabama",32391
"Anchorage Municipality, Alaska",72137
"Fairbanks North Star Borough, Alaska",67665
"Juneau City and Borough, Alaska",75597
"Kenai Peninsula Borough, Alaska",56382
"Matanuska-Susitna Borough, Alaska",67132
"Apache County, Arizona",30621
"Cochise County, Arizona",43821
"Coconino County, Arizona",49611
"Gila County, Arizona",35768
"Graham County, Arizona",38714
"La Paz County, Arizona",30797
"Maricopa County, Arizona",56555
"Mohave County, Arizona",39578
"Navajo County, Arizona",39678
"Pima County, Arizona",46229
"Pinal County, Arizona",48730
"Santa Cruz County, Arizona",38607
"Yavapai County, Arizona",43610
"Yuma County, Arizona",40079
"Ashley County, Arkansas",33903
"Baxter County, Arkansas",35682
