Geography,median_hh_income_2016
"Autauga County, Alabama",53099
"Baldwin County, Alabama",51365
"Barbour County, Alabama",33956
"Bibb County, Alabama",39776
"Blount County, Alabama",46212
"Bullock County, Alabama",29335
"Butler County, Alabama",34315
"Calhoun County, Alabama",41954
"Chambers County, Alabama",36027
"Cherokee County, Alabama",38925
"Chilton County, Alabama",42594
"Choctaw County, Alabama",32622
"Clarke County, Alabama",32735
"Clay County, Alabama",38815
"Cleburne County, Alabama",36316
"Coffee County, Alabama",47872
"Colbert County, Alabama",43786
"Conecuh County, Alabama",27609
"Coosa County, Alabama",31910
"Covington County, Alabama",37313
"Crenshaw County, Alabama",37557
"Cullman County, Alabama",39297
"Dale County, Alabama",44093
"Dallas County, Alabama",28136
"DeKalb County, Alabama",38248
"Elmore County, Alabama",53398
"Escambia County, Alabama",32334
"Etowah County, Alabama",40478
"Fayette County, Alabama",36205
"Franklin County, Alabama",36138
"Geneva County, Alabama",36519
"Greene County, Alabama",21339
"Hale County, Alabama",33351
"Henry County, Alabama",41045
"Houston County, Alabama",41945
"Jackson County, Alabama",38422
"Jefferson County, Alabama",47220
"Lamar County, Alabama",34298
"Lauderdale County, Alabama",43657
"Lawrence County, Alabama",42339
"Lee County, Alabama",45056
"Limestone County, Alabama",51115
"Lowndes County, Alabama",27914
"Macon County, Alabama",32390
"Madison County, Alabama",60150
"Marengo County, Alabama",30713
"Marion County, Alabama",34074
"Marshall County, Alabama",39831
"Mobile County, Alabama",44263
"Monroe County, Alabama",28182
"Montgomery County, Alabama",45358
"Morgan County, Alabama",46883
"Perry County, Alabama",24912
"Pickens County, Alabama",31679
"Pike County, Alabama",33193
"Randolph County, Alabama",37496
"Russell County, Alabama",38400
"St. Clair County, Alabama",54042
"Shelby County, Alabama",72310
"Sumter County, Alabama",20428
"Talladega County, Alabama",37923
"Tallapoosa County, Alabama",39395
"Tuscaloosa County, Alabama",48022
"Walker County, Alabama",37025
"Washington County, Alabama",40293
"Wilcox County, Alabama",24442
"Winston County, Alabama",33896
"Aleutians East Borough, Alaska",65926
"Aleutians West Census Area, Alaska",86964
"Anchorage Municipality, Alaska",80862
"Bethel Census Area, Alaska",53296
"Bristol Bay Borough, Alaska",88000
"Denali Borough, Alaska",81302
"Dillingham Census Area, Alaska",56055
"Fairbanks North Star Borough, Alaska",73831
"Haines Borough, Alaska",53125
"Hoonah-Angoon Census Area, Alaska",54091
"Juneau City and Borough, Alaska",87436
"Kenai Peninsula Borough, Alaska",64891
"Ketchikan Gateway Borough, Alaska",64162
"Kodiak Island Borough, Alaska",73068
"Kusilvak Census Area, Alaska",38160
"Lake and Peninsula Borough, Alaska",43864
"Matanuska-Susitna Borough, Alaska",73908
"Nome Census Area, Alaska",51563
"North Slope Borough, Alaska",72027
"Northwest Arctic Borough, Alaska",61341
"Petersburg Borough, Alaska",63940
"Prince of Wales-Hyder Census Area, Alaska",51887
"Sitka City and Borough, Alaska",70160
"Skagway Municipality, Alaska",64853
"Southeast Fairbanks Census Area, Alaska",63713
"Valdez-Cordova Census Area, Alaska",82511
"Wrangell City and Borough, Alaska",52986
"Yakutat City and Borough, Alaska",66875
"Yukon-Koyukuk Census Area, Alaska",38451
"Apache County, Arizona",32460
"Cochise County, Arizona",45383
"Coconino County, Arizona",51106
"Gila County, Arizona",40593
"Graham County, Arizona",47422
"Greenlee County, Arizona",51813
"La Paz County, Arizona",36321
"Maricopa County, Arizona",55676
"Mohave County, Arizona",39856
"Navajo County, Arizona",36868
"Pima County, Arizona",46764
"Pinal County, Arizona",51190
"Santa Cruz County, Arizona",38941
"Yavapai County, Arizona",46638
"Yuma County, Arizona",41467
"Arkansas County, Arkansas",37330
"Ashley County, Arkansas",36352
"Baxter County, Arkansas",38115
"Benton County, Arkansas",59016
"Boone County, Arkansas",38664
"Bradley County, Arkansas",34665
"Calhoun County, Arkansas",35446
"Carroll County, Arkansas",38145
"Chicot County, Arkansas",29628
"Clark County, Arkansas",35595
"Clay County, Arkansas",32404
"Cleburne County, Arkansas",41717
"Cleveland County, Arkansas",42429
"Columbia County, Arkansas",36507
"Conway County, Arkansas",38266
"Craighead County, Arkansas",43892
"Crawford County, Arkansas",41792
"Crittenden County, Arkansas",39407
"Cross County, Arkansas",39306
"Dallas County, Arkansas",35745
"Desha County, Arkansas",26519
"Drew County, Arkansas",33092
"Faulkner County, Arkansas",50872
"Franklin County, Arkansas",39482
"Fulton County, Arkansas",35593
"Garland County, Arkansas",40011
"Grant County, Arkansas",49195
"Greene County, Arkansas",42755
"Hempstead County, Arkansas",34072
"Hot Spring County, Arkansas",42589
"Howard County, Arkansas",34672
"Independence County, Arkansas",37592
"Izard County, Arkansas",35188
"Jackson County, Arkansas",31245
"Jefferson County, Arkansas",36377
"Johnson County, Arkansas",34031
"Lafayette County, Arkansas",29882
"Lawrence County, Arkansas",33381
"Lee County, Arkansas",25724
"Lincoln County, Arkansas",32369
"Little River County, Arkansas",35396
"Logan County, Arkansas",36463
"Lonoke County, Arkansas",56156
"Madison County, Arkansas",39839
"Marion County, Arkansas",33726
"Miller County, Arkansas",39955
"Mississippi County, Arkansas",35003
"Monroe County, Arkansas",31541
"Montgomery County, Arkansas",35103
"Nevada County, Arkansas",30750
"Newton County, Arkansas",33176
