fips,area_name,state_abbreviation,Population_2014,Percent_change_pop_2010_to_2014,Population_2010,"White alone, percent, 2014",Foreign Born 2009-2013 (%),"High school graduate or higher, percent of persons age 25+, 2009-2013","Bachelor's degree or higher, percent of persons age 25+, 2009-2013","Median household income, 2009-2013","Population per square mile, 2010"
0,United States,,318857056,3.3,308745538,0.2,12.9,86,28.8,53046,87.4
1000,Alabama,,4849377,1.4,4779736,0.1,3.5,83.1,22.6,43253,94.4
1001,Autauga County,AL,55395,1.5,54571,0.1,1.6,85.6,20.9,53682,91.8
1003,Baldwin County,AL,200111,9.8,182265,0.1,3.6,89.1,27.7,50221,114.6
1005,Barbour County,AL,26887,-2.1,27457,0.2,2.9,73.7,13.4,32911,31
1007,Bibb County,AL,22506,-1.8,22915,0.1,1.2,77.5,12.1,36447,36.8
1009,Blount County,AL,57719,0.7,57322,0.1,4.3,77,12.1,44145,88.9
1011,Bullock County,AL,10764,-1.4,10914,0.7,5.4,67.8,12.5,32033,17.5
1013,Butler County,AL,20296,-3.1,20947,0,0.8,76.3,14,29918,27
1015,Calhoun County,AL,115916,-2.3,118572,0.1,2.4,78.6,16.1,39962,195.7
1017,Chambers County,AL,34076,-0.3,34215,0.1,1.1,75.1,11.8,32402,57.4
1019,Cherokee County,AL,26037,0.2,25989,0,0.7,78.3,12.8,34907,46.9
1021,Chilton County,AL,43931,0.7,43643,0.2,5.2,76,12.9,41250,63
1023,Choctaw County,AL,13323,-3.9,13859,0,0.3,75.2,11.8,33941,15.2
1025,Clarke County,AL,24945,-3.5,25833,0,0.3,78.3,11.2,29357,20.9
1027,Clay County,AL,13552,-2.7,13932,0,2.2,76.5,9.2,34002,23.1
1029,Cleburne County,AL,15080,0.7,14972,0.1,1.5,76,9,38019,26.7
1031,Coffee County,AL,50909,1.9,49948,0.4,5.1,82.4,22.5,43768,73.6
1033,Colbert County,AL,54543,0.2,54428,0.1,2,83.5,17.7,39077,91.8
1035,Conecuh County,AL,12670,-4.2,13228,0,0.6,77.3,8.8,24658,15.6
1037,Coosa County,AL,10886,-7.4,11539,0.2,1.8,75,9.8,37277,17.7
1039,Covington County,AL,37914,0.4,37765,0,1.4,78.4,14.2,35869,36.6
1041,Crenshaw County,AL,13977,0.5,13906,0.1,2.3,76.7,12.7,36275,22.8
1043,Cullman County,AL,81289,1.1,80406,0,3,79.8,14.8,38847,109.4
1045,Dale County,AL,49484,-1.5,50251,0.1,3.7,84.1,17,44889,89.6
1047,Dallas County,AL,41711,-4.8,43820,0,0.8,77.5,14.2,26519,44.8
1049,DeKalb County,AL,71065,-0.1,71109,0.7,7.5,70.6,10.7,37851,91.5
1051,Elmore County,AL,80977,2.1,79303,0.1,2.1,86.6,21,54766,128.2
1053,Escambia County,AL,37733,-1.5,38319,0.1,0.6,76.2,11.7,30687,40.5
1055,Etowah County,AL,103531,-0.9,104430,0.3,2.2,81.8,14.8,38013,195.2
1057,Fayette County,AL,16874,-2.1,17241,0,0.6,74.9,13.2,33838,27.5
1059,Franklin County,AL,31601,-0.3,31704,0.2,8.4,72.5,11,36415,50
1061,Geneva County,AL,26712,-0.3,26790,0.1,1.8,77.2,10.4,35625,46.6
1063,Greene County,AL,8553,-5.4,9045,0,0.2,76.2,12.8,24226,14
1065,Hale County,AL,15184,-3.7,15760,0,1.2,77.4,12.8,30051,24.5
1067,Henry County,AL,17190,-0.6,17302,0,2.9,80.1,16.6,41650,30.8
1069,Houston County,AL,104193,2.6,101547,0.1,2.4,83.9,19.7,40948,175.1
1071,Jackson County,AL,52665,-1.1,53227,0.1,2.2,74.6,13,37634,49.4
1073,Jefferson County,AL,660793,0.4,658466,0.1,4.1,87.4,30,45429,592.5
1075,Lamar County,AL,14086,-3.3,14564,0,0.6,76.1,9.5,36028,24.1
1077,Lauderdale County,AL,93096,0.4,92709,0.1,2.1,83.8,21.1,42844,138.8
1079,Lawrence County,AL,33477,-2.5,34339,0,1,77.1,11.9,38551,49.7
1081,Lee County,AL,154255,9.9,140247,0.1,5.1,86.7,32.5,43542,230.8
1083,Limestone County,AL,90787,9.7,82782,0.2,4.3,81.5,22.7,48619,147.8
1085,Lowndes County,AL,10580,-6.4,11299,0,0.2,73.9,14.4,26230,15.8
1087,Macon County,AL,19425,-9.4,21452,0,1.1,80,19.6,30724,35.2
1089,Madison County,AL,350299,4.6,334811,0.1,5.4,90,38.5,58434,417.7
1091,Marengo County,AL,20110,-4.4,21027,0.2,0.7,83.7,17.4,35079,21.5
1093,Marion County,AL,30271,-1.6,30776,0.1,1,74.6,9.5,32888,41.5
1095,Marshall County,AL,94636,1.7,93019,0.3,8,76.2,15.2,39526,164.4
1097,Mobile County,AL,415123,0.5,412992,0.1,3.2,83.9,20.7,43028,335.9
1099,Monroe County,AL,21947,-4.9,23068,0,0.9,76.1,10.6,29203,22.5
1101,Montgomery County,AL,226189,-1.4,229363,0.1,4.3,85.6,31.5,44790,292.5
1103,Morgan County,AL,119607,0.1,119490,0.1,5.1,81.4,19.9,44800,206.3
1105,Perry County,AL,9826,-7.1,10591,0.1,0.5,70.2,10.4,28209,14.7
1107,Pickens County,AL,20365,3.1,19746,0.4,0.3,79.7,11,28741,22.4
1109,Pike County,AL,33389,1.5,32899,0.1,4,81,23,33090,48.9
1111,Randolph County,AL,22539,-1.6,22913,0.1,1.7,72.6,11.1,35213,39.5
1113,Russell County,AL,59608,12.6,52947,0.2,2.2,80.4,16,36143,82.6
1115,St. Clair County,AL,86697,3.7,83593,0.1,1.8,82,15.5,50786,132.3
1117,Shelby County,AL,206655,5.9,195085,0,6,91.2,40.3,68770,248.5
1119,Sumter County,AL,13166,-4.3,13763,0,0.9,75.5,14.9,22186,15.2
1121,Talladega County,AL,81322,-1.2,82291,0,1.6,78.9,13,35439,111.7
1123,Tallapoosa County,AL,41165,-1.1,41616,0,1.9,79.2,16.3,39130,58.1
1125,Tuscaloosa County,AL,202212,3.9,194656,0.1,3.5,86.6,27,45408,147.3
1127,Walker County,AL,65471,-2.3,67023,0.1,1.2,76.4,10.5,37566,84.7
1129,Washington County,AL,16834,-4.3,17581,0.1,0.9,80.5,9.5,42156,16.3
1131,Wilcox County,AL,11098,-4.9,11670,0,0.1,76.1,11.1,23642,13.1
1133,Winston County,AL,24150,-1.4,24484,0.2,1.1,72.7,10.4,32900,39.9
2000,Alaska,,736732,3.7,710231,1.3,7,91.6,27.5,70760,1.2
2013,Aleutians East Borough,AK,3360,7,3141,0.6,56.6,78.5,12,61250,0.4
2016,Aleutians West Census Area,AK,5750,3.4,5561,2.3,34.9,82.7,13.3,81853,1.3
2020,Anchorage Municipality,AK,301010,3.1,291826,2.4,9.4,92.5,32.8,77454,171.2
2050,Bethel Census Area,AK,17868,5,17013,0.2,1.2,79.5,11.7,51689,0.4
2060,Bristol Bay Borough,AK,957,-4,997,0.3,0.6,91.7,19.4,79531,2
2068,Denali Borough,AK,1921,5.2,1826,0.1,7.4,88.8,28.1,72500,0.1
2070,Dillingham Census Area,AK,4988,2.9,4847,0.2,1.5,83.7,17.8,54150,0.3
2090,Fairbanks North Star Borough,AK,99357,1.8,97581,0.5,5.7,93.1,29,69223,13.3
2100,Haines Borough,AK,2566,2.3,2508,0,5,96.4,30.1,52866,1.1
2105,Hoonah-Angoon Census Area,AK,2082,-3.1,2150,0.1,3,88.4,26.9,49545,0.3
2110,Juneau City and Borough,AK,32406,3.6,31275,1.1,6.5,95.5,36.7,81490,11.6
2122,Kenai Peninsula Borough,AK,57477,3.7,55400,0.3,2.6,92.8,23.7,61793,3.4
2130,Ketchikan Gateway Borough,AK,13787,2.3,13477,0.2,7.3,93.5,25.4,62519,2.8
2150,Kodiak Island Borough,AK,13986,2.8,13592,0.9,14.2,89.6,20,68718,2.1
2164,Lake and Peninsula Borough,AK,1631,-0.2,1631,0.3,1.7,86.8,15.4,51786,0.1
