county,state,Household_income_change_p25,Household_income_change_p75
Lawrence,AL,0.23,0.23
Limestone,AL,-0.16,0.07
Madison,AL,-0.62,-0.02
Morgan,AL,-0.08,0.11
DeKalb,AL,0.36,0.18
Etowah,AL,-0.2,0.16
Jackson,AL,0.13,0.11
Marshall,AL,0.06,0.2
Colbert,AL,-0.31,0.01
Franklin,AL,0.21,0.21
Lauderdale,AL,0.07,0.02
Cherokee,AL,-0.04,0.07
Clay,AL,0.07,0.11
Coosa,AL,-0.56,0.31
Talladega,AL,-0.12,0.09
Tallapoosa,AL,-0.37,0.16
Calhoun,AL,-0.21,0.08
Chambers,AL,-0.46,-0.04
Cleburne,AL,0.55,0.39
Randolph,AL,-0.12,0.11
Russell,AL,-0.55,-0.14
Bullock,AL,-0.58,-0.41
Lee,AL,-0.57,-0.16
Macon,AL,-0.77,-0.3
Barbour,AL,-0.59,0.05
Coffee,AL,0.07,0.05
Dale,AL,-0.02,0.13
Geneva,AL,0.11,0.47
Henry,AL,-0.27,0.2
Houston,AL,-0.28,0.11
Pickens,AL,-0.28,0.34
Fayette,AL,0.12,0.6
Lamar,AL,0.08,0.36
Marion,AL,0.21,0.28
Walker,AL,0.08,0.17
Winston,AL,0.14,0.21
Blount,AL,0.3,0.11
Chilton,AL,0.14,0.31
Cullman,AL,0.27,0.35
Jefferson,AL,-0.32,0.06
St Clair,AL,0,0.11
Shelby,AL,-0.08,0.1
Bibb,AL,-0.2,0.36
Dallas,AL,-0.61,-0.06
Hale,AL,-0.5,0.12
Perry,AL,-0.66,-0.11
Tuscaloosa,AL,-0.45,-0.01
Choctaw,AL,-0.17,0.23
Greene,AL,-0.78,-0.11
Marengo,AL,-0.47,0.01
Sumter,AL,-0.59,-0.09
Baldwin,AL,-0.12,-0.06
Clarke,AL,-0.11,0.21
Mobile,AL,-0.3,-0.04
Washington,AL,0.24,0.32
Wilcox,AL,-0.58,-0.07
Conecuh,AL,-0.38,0.06
Escambia,AL,-0.09,0.16
Monroe,AL,-0.38,0.06
Autauga,AL,-0.21,0.22
Butler,AL,-0.42,0.08
Elmore,AL,0,0.17
Lowndes,AL,-0.48,-0.15
Montgomery,AL,-0.34,-0.04
Covington,AL,0.18,0.25
Crenshaw,AL,0.31,0.45
Pike,AL,-0.19,0.17
Anchorage,AK,0.36,0.12
Kenai Peninsula,AK,0.78,0.18
Matanuska-Susitna,AK,0.61,0.23
Valdez-Cordova,AK,0.29,0.12
Northwest Arctic,AK,-0.67,-0.37
Nome,AK,-0.88,-0.19
Dillingham,AK,-0.27,-0.07
Kodiak Island,AK,0.42,0.04
Juneau,AK,0.13,-0.03
Sitka,AK,-0.36,-0.34
Wrangell-Petersburg,AK,0.38,-0.02
Ketchikan Gateway,AK,0.1,-0.11
Prince Of Wales-Outer Ketchikan,AK,-0.21,-0.42
Bethel,AK,-0.69,-0.34
Wade Hampton,AK,-0.94,-0.69
North Slope,AK,-0.51,-0.2
Fairbanks North Star,AK,0.38,0.12
Southeast Fairbanks,AK,1.14,0.27
Yukon-Koyukuk,AK,-0.14,0.03
Gila,AZ,-0.46,0.05
Maricopa,AZ,0.1,0.11
Pinal,AZ,-0.55,-0.3
Graham,AZ,0.04,0.2
Greenlee,AZ,0.31,0.51
Cochise,AZ,0.3,0.18
Pima,AZ,-0.45,-0.29
Santa Cruz,AZ,0.12,-0.19
Coconino,AZ,-0.19,-0.13
Yavapai,AZ,0.23,-0.1
Apache,AZ,-0.57,-0.36
Navajo,AZ,-0.67,-0.18
Mohave,AZ,-0.02,-0.05
Yuma,AZ,0.35,0.01
La Paz,AZ,-0.41,-0.21
Columbia,AR,-0.5,0.21
Lafayette,AR,-0.39,0.25
Ashley,AR,-0.22,0.09
Bradley,AR,-0.04,0.33
Chicot,AR,-0.68,0.18
Cleveland,AR,0.14,0.43
Desha,AR,-0.53,-0.1
Drew,AR,-0.3,0.03
Jefferson,AR,-0.61,-0.07
Lincoln,AR,-0.11,0.22
Calhoun,AR,0,0.21
Dallas,AR,-0.51,0.01
Ouachita,AR,-0.34,0.04
Union,AR,-0.29,0.13
Conway,AR,0.04,0.34
Faulkner,AR,0.13,0.21
Grant,AR,0.54,0.37
Lonoke,AR,0.01,0.16
Perry,AR,0.22,0.31
Pulaski,AR,-0.3,-0.07
Saline,AR,0.02,0.12
Arkansas,AR,-0.2,0.12
Monroe,AR,-0.26,0.34
Prairie,AR,-0.01,0.31
Jackson,AR,-0.09,0.04
White,AR,0.47,0.19
Woodruff,AR,-0.41,0.12
Crittenden,AR,-0.79,0
Cross,AR,-0.21,0.11
Lee,AR,-0.63,-0.06
Phillips,AR,-0.76,-0.07
St Francis,AR,-0.49,-0.12
Baxter,AR,0.22,0.06
Marion,AR,0.22,0.19
Fulton,AR,0.51,0.13
Boone,AR,0.24,0.22
Carroll,AR,0.25,0.01
Newton,AR,0.54,0.3
Searcy,AR,0.27,0.22
Cleburne,AR,0.45,0.25
Stone,AR,0.11,0.3
Van Buren,AR,0.29,0.4
Independence,AR,0.28,0.18
Izard,AR,0.37,0.29
Sharp,AR,0.24,0.27
Mississippi,AR,-0.46,0.11
Clay,AR,0.42,0.23
Craighead,AR,-0.25,-0.04
Greene,AR,0.1,0.13
Lawrence,AR,0.44,0.21
Poinsett,AR,-0.23,0.22
Randolph,AR,0.34,0.25
Franklin,AR,0.72,0.07
Johnson,AR,0.27,0.21
Logan,AR,0.32,0.25
Pope,AR,0.27,0.04
Yell,AR,0.28,0.17
Crawford,AR,0.23,0.3
Scott,AR,0.44,0.43
Sebastian,AR,0.02,0.06
Benton,AR,0.22,0.09
