"","county","state","clinton_16","trump_16","obama_08","mccain_08","obama_12","romney_12","clinton_primary","sanders_primary","miss_data","alcohol_08","alcohol_12","alcohol_16","drug_08","drug_12","drug_16","suicides_08","suicides_12","suicides_16","pop_2014","pop_2010","perc_under_18","perc_over_65","perc_females","perc_white","perc_black","perc_asian","perc_hisp","perc_immigrants","perc_high_school","perc_bachelors","perc_vets","commuting_time","perc_own_homes","per_cap_income","median_hh_income","perc_below_poverty","land_area","pop_density_2010","pop_density_2014","religious_14","civic_14","business_14","political_14","professsional_14","labor_14","bowling_14","recreation_14","golf_14","sports_14","pop_14","soc_cap_agg_14","voter_to_12","census_resp_10","non_profits_14","soc_cap_indx_14","hh_inc_change_p25","hh_inc_change_p75","diversity_idx_2016","total_votes_16","total_votes_08","total_votes_12","primary_total","suicides_16_scaled","alcohol_08_scaled","alcohol_12_scaled","alcohol_16_scaled","drug_08_scaled","drug_12_scaled","drug_16_scaled","suicides_08_scaled","suicides_12_scaled","religious_14_scaled","civic_14_scaled","business_14_scaled","political_14_scaled","professsional_14_scaled","labor_14_scaled","bowling_14_scaled","recreation_14_scaled","golf_14_scaled","sports_14_scaled","non_profits_14_scaled","total_mort_08","total_mort_12","total_mort_16","total_mort_08_scaled","total_mort_12_scaled","total_mort_16_scaled","trump_over_romney","trump_over_mccain","trump_over_hillary"
"1","Autauga","Alabama",5936,18172,6091,17398,6354,17366,2391,545,0,4,3,3,5,3,7,5,12,14,55395,54571,25.2,13.8,51.4,77.9,18.7,1.1,2.7,1.6,85.6,20.9,5922,26.2,76.8,24571,53682,12.1,594.44,91.8,93.1885472,53,7,3,0,1,4,1,5,2,0,55290,1.374570447,0.644955609,0.78,157,-0.63100335,-0.21,0.22,0.6011,24108,23489,23720,2936,25.2730390829497,7.22086830941421,5.41565123206066,5.41565123206066,9.02608538676776,5.41565123206066,12.6365195414749,9.02608538676776,21.6626049282426,95.6765050997383,12.6365195414749,5.41565123206066,0,1.80521707735355,7.22086830941421,1.80521707735355,9.02608538676776,3.6104341547071,0,283.419081144508,14,18,24,0.000256546517381027,0.000329845522347034,0.000433252098564852,806,774,12236
"2","Baldwin","Alabama",18458,72883,19362,61192,18329,65772,5307,2709,0,14,21,8,27,34,34,29,45,42,200111,182265,22.2,18.7,51.2,87.1,9.6,0.9,4.6,3.6,89.1,27.7,19346,25.9,72.6,26766,50221,13.9,1589.78,114.6,125.8733913,169,16,9,0,3,1,1,25,7,0,199713,1.156659807,0.674735405,0.73,718,-0.555396006,-0.12,-0.06,0.597774,91341,80554,84101,8016,20.988351464937,6.99611715497899,10.4941757324685,3.99778123141656,13.4925116560309,16.9905702335204,16.9905702335204,14.491956963885,22.4875194267182,84.4531285136749,7.99556246283313,4.49750388534363,0,1.49916796178121,0.49972265392707,0.49972265392707,12.4930663481768,3.49805857748949,0,358.800865519637,70,100,84,0.0003840561819329,0.000548651688475571,0.000419767029298739,7111,11691,54425
"3","Barbour","Alabama",4871,5454,5685,5862,5873,5539,2585,222,0,2,1,1,0,1,2,0,3,4,26887,27457,21.2,16.5,46.6,50.2,47.6,0.5,4.5,2.9,73.7,13.4,2120,24.6,67.7,16829,32911,26.7,884.88,31,30.38491095,19,1,1,0,0,0,0,0,1,0,26815,0.820436323,0.665030604,0.63,92,-0.891036085,-0.59,0.05,0.5916,10325,11547,11412,2807,14.8770781418529,7.43853907092647,3.71926953546324,3.71926953546324,0,3.71926953546324,7.43853907092647,0,11.1578086063897,70.6661211738015,3.71926953546324,3.71926953546324,0,0,0,0,0,3.71926953546324,0,342.172797262618,2,5,7,7.28411698291875e-05,0.000182102924572969,0.000260348867482426,-85,-408,583
"4","Bibb","Alabama",1874,6738,2289,6247,2200,6131,942,246,-1,0.184642199,0.184642199,0.879931137,7,4,7,5,4,4,22506,22915,21,14.8,45.9,76.3,22.1,0.2,2.1,1.2,77.5,12.1,1327,27.6,79,17427,36447,18.1,622.58,36.8,36.14957114,20,0,1,0,0,0,0,1,1,0,22549,1.020000887,0.656837507,0.58,54,-0.906581521,-0.2,0.36,0.572213,8612,8536,8331,1188,17.7730383008975,0.820413218697236,0.820413218697236,3.90976245001333,31.1028170265707,17.7730383008975,31.1028170265707,22.2162978761219,17.7730383008975,88.8651915044877,0,4.44325957522438,0,0,0,0,4.44325957522438,4.44325957522438,0,239.936017062117,12.184642199,8.184642199,11.879931137,0.000531732149203578,0.000357173999519965,0.000527856177774816,607,491,4864
"5","Blount","Alabama",2156,22859,3518,20362,2961,20741,564,395,0,5,3,7,18,18,15,8,15,11,57719,57322,23.6,17,50.5,96,1.8,0.3,8.7,4.3,77,12.1,4540,33.9,81,20730,44145,15.8,644.78,88.9,89.51735476,39,0,1,0,0,3,0,3,3,0,57658,0.849838704,0.708668375,0.8,108,-1.013279735,0.3,0.11,0.568373,25015,23880,23702,959,19.0578492350872,8.66265874322147,5.19759524593288,12.1277222405101,31.1855714755973,31.1855714755973,25.9879762296644,13.8602539891544,25.9879762296644,67.5687381971275,0,1.73253174864429,0,0,5.19759524593288,0,5.19759524593288,5.19759524593288,0,187.113428853584,31,36,33,0.00054080457764907,0.000628031122431178,0.000571735477052617,2118,2497,20703
"6","Bullock","Alabama",3530,1140,4001,1389,4058,1250,2461,178,0,0,1,1,0,0.386703032,0.534868914,1,0,1,10764,10914,21.4,14.9,45.3,26.9,70.1,0.3,7.5,5.4,67.8,12.5,636,26.9,74.3,18628,32033,21.6,622.81,17.5,17.28295949,10,0,0,0,0,0,0,0,1,0,10829,1.015790932,0.680823845,0.34,40,-0.502400203,-0.58,-0.41,0.54832,4670,5390,5308,2639,9.29022668153103,0,9.29022668153103,9.29022668153103,0,3.59255882571535,4.96905345596433,9.29022668153103,0,92.9022668153103,0,0,0,0,0,0,0,9.29022668153103,0,371.609067261241,1,1.386703032,2.534868914,9.16254352208173e-05,0.000127057268829027,0.000235495068190264,-110,-249,-2390
"7","Butler","Alabama",3726,4901,4174,5472,4367,5081,2197,156,0,0,0,0,3,1,4,3,6,5,20296,20947,23.6,18,53.6,53.9,44,0.9,1.2,0.8,76.3,14,1497,24,70.3,17403,29918,28.4,776.83,27,26.12669439,19,0,0,0,0,1,0,1,3,0,20276,1.183665417,0.704478055,0.56,74,-0.339173133,-0.42,0.08,0.547169,8627,9646,9448,2353,24.6353961371699,0,0,0,14.7812376823019,4.92707922743398,19.7083169097359,14.7812376823019,29.5624753646039,93.6145053212456,0,0,0,0,4.92707922743398,0,4.92707922743398,14.7812376823019,0,364.603862830114,6,7,9,0.000286437198644197,0.000334176731751563,0.000443437130469058,-180,-571,1175
"8","Calhoun","Alabama",13242,32865,16325,32326,15500,30272,5111,1478,0,2,8,9,21,7,16,14,24,25,115916,118572,22.2,16,51.8,75.8,21.1,0.9,3.5,2.4,78.6,16.1,11385,22.5,68.7,20828,39962,21.9,605.87,195.7,191.3215706,133,11,5,1,0,6,1,7,6,0,115993,1.465605683,0.661464055,0.75,409,-0.351892126,-0.21,0.08,0.542337,46107,48651,45772,6589,21.5673418682494,1.72538734945995,6.90154939783981,7.76424307256979,18.1165671693295,6.03885572310984,13.8030987956796,12.0777114462197,20.7046481935194,114.738258739087,9.48963042202974,4.31346837364988,0.862693674729977,0,5.17616204837986,0.862693674729977,6.03885572310984,5.17616204837986,0,352.841712964561,37,39,50,0.00031204668893162,0.000328914077522518,0.000431346837364988,2593,539,19623
"9","Chambers","Alabama",5784,7843,6782,8060,6853,7596,2913,315,0,1,4,5,5,3,5,4,9,15,34076,34215,21.4,18.3,52.3,58.3,39.5,0.8,2,1.1,75.1,11.8,2691,24.6,67.9,19291,32402,24.1,596.53,57.4,57.12369872,59,1,1,0,0,0,1,0,1,0,34052,1.850111594,0.598005151,0.74,100,-0.36673095,-0.46,-0.04,0.529877,13627,14842,14449,3228,44.0192510858082,2.93461673905388,11.7384669562155,14.6730836952694,14.6730836952694,8.80385021716164,14.6730836952694,11.7384669562155,26.4115506514849,173.142387604179,2.93461673905388,2.93461673905388,0,0,0,2.93461673905388,0,2.93461673905388,0,293.461673905388,10,16,25,0.000292269472453602,0.000467631155925764,0.00073365418476347,247,-217,2059
"10","Cherokee","Alabama",1547,8953,2299,7285,2126,7494,712,269,0,3,2,2,4,9,5,2,8,6,26037,25989,20.4,20.9,50.2,93,4.6,0.3,1.5,0.7,78.3,12.8,2174,26.9,76.1,22030,34907,21.2,553.7,46.9,47.02365902,21,1,1,0,0,1,0,1,1,0,25995,1.000192345,0.638206348,0.55,53,-1.052143323,-0.04,0.07,0.525809,10500,9584,9620,981,23.0441295080078,11.5220647540039,7.68137650266928,7.68137650266928,15.3627530053386,34.5661942620118,19.2034412566732,7.68137650266928,30.7255060106771,80.6544532780274,3.84068825133464,3.84068825133464,0,0,3.84068825133464,0,3.84068825133464,3.84068825133464,0,203.556477320736,9,19,13,0.000346300357843703,0.000731078533225595,0.000499289472673503,1459,1668,7406
