county,state,Clinton,Sanders
Autauga,AL,"2,391",545
Baldwin,AL,"5,307","2,709"
Barbour,AL,"2,585",222
Bibb,AL,942,246
Blount,AL,564,395
Bullock,AL,"2,461",178
Butler,AL,"2,197",156
Calhoun,AL,"5,111","1,478"
Chambers,AL,"2,913",315
Cherokee,AL,712,269
Chilton,AL,861,289
Choctaw,AL,"1,772",273
Clarke,AL,"3,157",213
Clay,AL,814,135
Cleburne,AL,221,72
Coffee,AL,"1,499",390
Colbert,AL,"3,893","1,349"
Conecuh,AL,"2,031",544
Coosa,AL,"1,013",125
Covington,AL,742,190
Crenshaw,AL,908,107
Cullman,AL,"1,275",725
Dale,AL,"1,544",415
Dallas,AL,"8,581","1,774"
DeKalb,AL,"1,297",668
Elmore,AL,"3,176",743
Escambia,AL,"2,027",226
Etowah,AL,"4,302","1,308"
Fayette,AL,662,148
Franklin,AL,"1,234",767
Geneva,AL,546,157
Greene,AL,"2,717",213
Hale,AL,"2,429",428
Henry,AL,"1,173",163
Houston,AL,"3,063",784
Jackson,AL,"1,327",511
Jefferson,AL,"67,408","14,341"
Lamar,AL,442,173
Lauderdale,AL,"3,691","1,769"
Lawrence,AL,"2,056",430
Lee,AL,"7,162","2,477"
Limestone,AL,"3,224","1,136"
Lowndes,AL,"3,784",331
Macon,AL,"4,295",484
Madison,AL,"20,126","8,865"
Marengo,AL,"3,590","1,092"
Marion,AL,119,74
Marshall,AL,"1,495",824
Mobile,AL,"29,243","5,778"
Monroe,AL,"2,438",205
Montgomery,AL,"28,755","4,283"
Morgan,AL,"3,903","1,349"
Perry,AL,"2,599",389
Pickens,AL,"2,328",453
Pike,AL,"2,194",385
Randolph,AL,"1,236",328
Russell,AL,"4,382",989
Shelby,AL,"6,682","3,767"
St. Clair,AL,"1,814",751
Sumter,AL,"2,990",416
Talladega,AL,"5,564",783
Tallapoosa,AL,"2,658",308
Tuscaloosa,AL,"12,141","3,446"
Walker,AL,147,86
Washington,AL,"1,518",568
Wilcox,AL,"3,337",410
Winston,AL,303,139
Alabama,T,"309,071","76,059"
,,,
Apache,AZ,"5,264","2,415"
Cochise,AZ,"5,236","3,771"
Coconino,AZ,"6,596","8,689"
Gila,AZ,"2,506","1,562"
Graham,AZ,949,885
Greenlee,AZ,497,325
La Paz,AZ,375,324
Maricopa,AZ,"141,441","102,962"
Mohave,AZ,"4,621","3,258"
Navajo,AZ,"4,865","2,954"
Pima,AZ,"60,650","46,273"
Pinal,AZ,"12,486","7,438"
Santa Cruz,AZ,"2,726","1,383"
Yavapai,AZ,"8,854","7,844"
Yuma,AZ,"5,393","2,879"
Arizona,T,"262,459","192,962"
,,,
Arkansas,AR,724,132
Ashley,AR,"1,375",980
Baxter,AR,"1,392",808
Benton,AR,"5,661","4,714"
Boone,AR,721,469
Bradley,AR,595,106
Calhoun,AR,433,319
Carroll,AR,"1,069","1,109"
Chicot,AR,"1,371",247
Clark,AR,"1,650",494
Clay,AR,963,657
Cleburne,AR,758,316
Cleveland,AR,382,137
Columbia,AR,"1,008",306
Conway,AR,"1,757",840
Craighead,AR,"3,595","1,884"
Crawford,AR,"1,587",875
Crittenden,AR,"3,374",716
Cross,AR,780,228
Dallas,AR,693,361
Desha,AR,"1,366",443
Drew,AR,"1,251",475
Faulkner,AR,"4,088","2,792"
Franklin,AR,667,294
Fulton,AR,701,473
Garland,AR,"4,060","1,783"
Grant,AR,690,300
Greene,AR,"1,237",586
Hempstead,AR,786,164
Hot Spring,AR,"1,564",733
Howard,AR,535,129
Independence,AR,"1,059",524
Izard,AR,516,240
Jackson,AR,702,225
Jefferson,AR,"9,948","2,117"
Johnson,AR,"1,057",580
Lafayette,AR,443,160
Lawrence,AR,933,726
Lee,AR,956,84
Lincoln,AR,599,152
Little River,AR,721,441
Logan,AR,881,361
Lonoke,AR,"1,696",826
Madison,AR,"1,086","1,079"
Marion,AR,428,317
Miller,AR,"1,300",357
Mississippi,AR,"2,020",342
Monroe,AR,843,411
Montgomery,AR,316,142
Nevada,AR,647,306
Newton,AR,192,211
Ouachita,AR,"2,095",525
Perry,AR,648,428
Phillips,AR,"2,699",658
Pike,AR,367,171
Poinsett,AR,718,229
Polk,AR,349,272
Pope,AR,"1,689","1,177"
Prairie,AR,565,385
Pulaski,AR,"34,906","10,485"
Randolph,AR,663,356
St. Francis,AR,"1,912",354
Saline,AR,"4,361","2,012"
Scott,AR,306,152
Searcy,AR,221,164
Sebastian,AR,"3,815","2,326"
Sevier,AR,342,167
Sharp,AR,608,294
Stone,AR,547,421
Union,AR,"2,548","1,671"
Van Buren,AR,770,437
Washington,AR,"9,119","8,524"
White,AR,"2,024",819
Woodruff,AR,886,306
Yell,AR,723,432
Arkansas,T,"146,057","66,236"
,,,
Alameda,CA,"164,889","153,955"
Alpine,CA,113,137
Amador,CA,"2,516","2,386"
Butte,CA,"11,766","19,739"
Calaveras,CA,"2,971","2,914"
Colusa,CA,835,809
Contra Costa,CA,"103,333","77,862"
Del Norte,CA,"1,119","1,598"
El Dorado,CA,"12,492","12,620"
Fresno,CA,"45,436","34,663"
Glenn,CA,911,"1,003"
Humboldt,CA,"8,135","19,928"
