county,state,Religious2014,Civic2014,Business2014,Political2014,Professional2014,Labor2014,Bowling2014,Recreational2014,Golf2014,Sports2014,pop2014,assn2014,pvote2012,respn2010,nccs2014,sk2014
Edgefield , SC,25,2,1,0,0,0,0,0,3,0,26457,1.17171259,0.72758101,0.77,3485,21.80883246
Hinsdale , CO,3,1,1,0,0,0,0,0,0,0,781,6.402048656,0.810810811,0.2,22,9.149195267
Lexington city, VA,10,9,1,0,1,0,0,1,0,0,7149,3.077353476,0.649818622,0.76,302,7.735973879
Mineral , CO,2,1,1,0,0,0,0,0,0,0,695,5.755395683,0.776583035,0.21,15,7.285862867
Motley , TX,4,1,1,0,0,0,0,0,1,0,1153,6.07111882,0.730816078,0.47,24,7.155846499
Thomas , NE,3,0,0,0,0,0,0,0,1,0,687,5.822416303,0.777142857,0.61,13,6.747425518
Hooker , NE,2,0,0,0,0,0,0,0,3,0,726,6.887052342,0.652892562,0.7,12,6.745305686
Griggs , ND,10,0,1,0,0,0,1,1,1,0,2312,6.055363322,0.700361011,0.63,39,6.277529406
Grant , NE,1,0,1,0,0,0,0,0,0,0,620,3.225806452,0.775641026,0.64,17,5.867695204
Kiowa , KS,12,0,1,0,0,0,0,0,1,0,2530,5.533596838,0.708359133,0.64,39,5.587877369
Smith , KS,14,1,1,0,0,0,0,0,0,0,3739,4.279219043,0.656391953,0.77,78,5.142712632
Greeley , KS,4,0,1,0,0,0,1,0,1,0,1305,5.363984674,0.70230608,0.61,18,5.140592799
Sheridan , MT,9,2,0,0,0,0,1,1,1,0,3679,3.805381897,0.770891643,0.61,68,4.834630369
Lane , KS,5,1,2,0,0,0,1,0,0,0,1687,5.334914049,0.68285504,0.69,21,4.773861849
Divide , ND,6,3,0,0,0,0,0,2,1,0,2429,4.940304652,0.668926554,0.52,35,4.760436246
Kittson , MN,11,5,0,0,0,0,0,0,2,0,4442,4.052228726,0.842032011,0.7,67,4.730051986
Gove , KS,9,1,1,0,0,0,0,1,0,0,2706,4.4345898,0.718441558,0.73,42,4.629006657
Murray , MN,28,3,1,0,0,0,1,1,3,0,8447,4.380253344,0.850642398,0.75,101,4.502523343
Prairie , MT,2,1,0,0,0,0,0,0,0,0,1140,2.631578947,0.797052154,0.67,25,4.462953144
Garfield , NE,6,1,0,0,0,0,0,0,1,0,1995,4.010025063,0.758064516,0.62,30,4.366147479
Comanche , KS,8,0,1,0,0,0,0,0,1,0,1949,5.130836326,0.741214058,0.62,18,4.300432684
Northumberland , VA,21,3,0,0,0,1,0,0,1,0,6052,4.296100463,0.792741766,0.75,76,4.291953356
Sheridan , ND,4,0,1,0,0,0,0,0,0,0,1323,3.779289494,0.759746147,0.61,20,4.183135309
Lake of the Woods , MN,9,3,0,0,0,0,0,1,1,0,3917,3.574163901,0.853975535,0.31,52,4.175362591
Burke , ND,7,0,0,0,0,0,1,0,1,0,2235,4.026845638,0.650564617,0.51,36,4.161936988
San Juan , CO,0,0,1,0,0,0,0,0,0,0,719,1.390820584,0.766666667,0.32,19,4.124486621
Wallace , KS,4,1,0,0,1,0,0,0,0,0,1514,3.963011889,0.727438469,0.66,22,4.096222194
Haakon , SD,4,0,0,0,0,0,1,0,1,0,1847,3.248511099,0.773919206,0.6,30,3.963379383
Republic , KS,17,2,2,0,0,0,0,1,1,0,4773,4.818772261,0.706842105,0.75,47,3.937941398
Washington , KS,19,1,1,0,0,0,0,0,2,0,5628,4.086709311,0.708088235,0.73,76,3.925222406
Grant , MN,14,3,1,0,0,0,0,0,1,0,5969,3.183112749,0.800872761,0.7,92,3.836896069
Highland , VA,4,2,1,0,0,0,0,0,0,0,2251,3.109729009,0.794713161,0.53,35,3.829123351
Teton , MT,12,1,1,0,0,0,0,2,2,0,6046,2.977174992,0.821893788,0.71,96,3.815697748
Nuckolls , NE,9,4,1,0,1,0,0,2,1,0,4366,4.122766835,0.67916925,0.71,58,3.80721842
Fairfax city, VA,22,3,14,2,9,3,1,14,1,0,23694,2.912129653,0.736245647,0.79,435,3.805098588
Wells , ND,10,4,1,0,0,0,0,0,2,0,4184,4.063097514,0.699012202,0.65,54,3.791672984
Lincoln , MN,15,2,0,0,0,0,1,0,2,0,5804,3.44589938,0.807453416,0.73,78,3.748569732
Marshall , MN,22,9,1,0,0,0,0,0,2,0,9434,3.603985584,0.87177584,0.8,105,3.731611075
Deuel , NE,7,0,0,0,0,0,0,0,0,0,1936,3.615702479,0.688557888,0.7,29,3.687801212
Johnson , WY,11,1,2,0,1,0,1,2,1,0,8552,2.221702526,0.939761695,0.65,137,3.669429334
Big Stone , MN,15,3,0,0,0,0,1,0,1,0,5125,3.902439024,0.753376553,0.82,61,3.638338464
Logan , NE,2,1,0,0,0,0,0,0,0,0,752,3.989361702,0.772401434,0.66,8,3.632685578
Garden , NE,6,1,0,0,0,0,0,0,1,0,1912,4.184100418,0.694462126,0.56,21,3.581102998
Decatur , KS,7,1,1,0,0,0,0,0,1,0,2890,3.460207612,0.753937008,0.61,38,3.53305347
Sheridan , KS,7,1,1,0,0,0,0,0,1,0,2541,3.935458481,0.730538922,0.71,29,3.527400585
Stafford , KS,12,2,2,0,0,0,0,0,1,0,4296,3.95716946,0.670189504,0.67,54,3.51256176
Covington city, VA,18,0,1,0,0,3,0,1,0,0,5696,4.037921348,0.606928888,0.8,79,3.502669211
Wichita , KS,8,0,1,0,0,0,0,0,1,0,2174,4.599816007,0.697033898,0.62,18,3.475818004
Dickey , ND,13,2,2,0,0,0,1,1,2,0,5123,4.099160648,0.628641371,0.63,63,3.435541195
Fallon , MT,7,1,1,0,0,0,1,0,1,0,3111,3.535840566,0.754291845,0.65,38,3.426355256
Cook , MN,8,3,0,1,0,0,0,0,0,0,5223,2.297530155,0.864878938,0.41,81,3.424942034
McIntosh , ND,5,3,0,0,0,0,1,0,1,0,2763,3.619254434,0.691489362,0.57,36,3.411516431
Cheyenne , KS,6,0,1,0,0,0,0,0,1,0,2687,2.977298102,0.747379455,0.7,41,3.405156935
Teton , WY,13,7,3,2,0,0,0,14,4,1,22905,1.920977952,0.954696869,0.5,344,3.340855362
District of Columbia, DC,477,211,485,136,324,134,1,88,3,5,659836,2.82494438,0.607232701,0.72,12568,3.338028919
Custer , CO,9,0,1,0,0,0,0,0,1,0,4347,2.530480791,0.765219842,0.38,70,3.336615697
Yellow Medicine , MN,25,1,3,0,0,0,0,0,2,0,10033,3.089803648,0.912061995,0.82,106,3.331669423
Towner , ND,4,2,1,0,0,0,0,0,1,0,2298,3.481288077,0.662065157,0.57,32,3.321070262
Nelson , ND,8,0,0,0,0,0,0,0,1,0,3042,2.958579882,0.672748909,0.61,50,3.316123987
San Juan , WA,14,4,2,0,0,0,0,6,2,0,16026,1.747160864,0.881437724,0.47,271,3.220024933
Hyde , SD,3,1,0,0,0,0,1,0,0,0,1396,3.581661891,0.69478673,0.65,17,3.215785269
Foard , TX,2,0,1,0,1,0,0,0,0,0,1268,3.154574132,0.460037175,0.52,25,3.213665437
McCone , MT,3,0,0,0,0,0,0,0,0,0,1704,1.76056338,0.801452785,0.55,32,3.197413391
Swift , MN,22,3,1,0,0,0,1,0,2,0,9446,3.070082575,0.831276388,0.8,108,3.138058092
Powder River , MT,1,0,2,0,0,0,0,0,1,0,1778,2.249718785,0.78277439,0.54,29,3.13593826
Rawlins , KS,8,0,1,0,0,0,0,0,1,0,2555,3.913894325,0.696239151,0.6,25,3.123925879
Barber , KS,13,1,2,0,0,0,0,1,1,0,4870,3.696098563,0.710251688,0.76,53,3.119686214
Gregory , SD,8,1,1,0,0,0,1,0,2,0,4221,3.079838901,0.694991922,0.61,59,3.091421787
Dundy , NE,4,0,0,0,0,0,0,0,1,0,1889,2.646903123,0.733432614,0.64,29,3.088595344
Ness , KS,9,0,2,0,0,0,0,0,0,0,3083,3.567953292,0.695568401,0.62,35,3.075169741
Martinsville city, VA,32,3,3,0,0,0,0,2,1,0,13552,3.025383707,0.682746632,0.76,197,3.035599542
Jerauld , SD,4,0,0,0,0,0,1,0,1,0,2005,2.992518703,0.680649526,0.66,29,3.020054107
Atchison , MO,14,0,1,0,0,0,1,1,2,0,5371,3.537516291,0.641639034,0.74,68,3.008748335
Lac qui Parle , MN,13,3,1,0,0,0,0,0,2,0,6895,2.755620015,0.820597322,0.81,86,2.987550015
Foster , ND,8,0,1,0,0,0,0,1,1,0,3362,3.271861987,0.646969697,0.69,46,2.986843404
Polk , IA,262,47,73,15,32,51,8,73,12,6,460341,1.257763267,0.811074572,0.79,9392,2.981190518
Graham , KS,5,0,2,0,0,0,0,0,0,0,2555,2.739726027,0.667663179,0.79,41,2.967764915
Lancaster , VA,25,3,1,0,0,0,1,1,0,0,11003,2.817413433,0.787265325,0.76,140,2.967058304
Fillmore , MN,44,11,5,0,0,0,2,0,5,0,20812,3.21929656,0.78847546,0.79,222,2.966351694
Chippewa , MN,27,9,2,0,0,0,1,1,1,0,12085,3.392635499,0.818181818,0.84,108,2.927488106
Jeff Davis , TX,6,0,1,0,0,0,0,0,0,0,2185,3.203661327,0.759719567,0.47,23,2.922541831
Watonwan , MN,21,7,2,0,0,0,2,3,1,0,10969,3.281976479,0.823830878,0.8,100,2.897103846
Hot Springs , WY,6,1,1,0,0,1,0,2,0,0,4793,2.295013561,0.926676492,0.66,55,2.892157571
Keya Paha , NE,1,0,0,0,0,0,0,0,0,0,804,1.243781095,0.742331288,0.57,17,2.89074435
Hughes , SD,14,8,18,3,7,3,1,3,0,0,17617,3.235511154,0.649852578,0.8,236,2.877318746
Wallowa , OR,9,1,2,0,0,0,0,0,1,0,6817,1.906997213,0.863981919,0.72,102,2.866719586
Mitchell , KS,12,1,2,0,0,0,1,2,1,0,6255,3.037569944,0.695846046,0.73,82,2.864599754
Rock , NE,3,0,0,0,0,0,0,0,1,0,1413,2.830856334,0.744339623,0.61,18,2.857533647
Valley , MT,11,2,2,0,0,1,1,0,1,0,7624,2.360965373,0.805636743,0.52,103,2.853293983
Hand , SD,6,0,0,0,0,0,0,1,1,0,3354,2.385211688,0.683937824,0.87,57,2.851880761
Kiowa , CO,4,0,0,0,0,0,0,0,0,0,1411,2.834868887,0.765144455,0.55,17,2.848347708
Phillips , KS,13,2,1,0,0,1,0,1,0,0,5483,3.282874339,0.660401648,0.77,69,2.834215494
Faribault , MN,31,6,2,0,0,0,0,2,3,0,14156,3.108222662,0.800103734,0.81,145,2.834215494
Perkins , SD,4,1,1,0,0,0,1,0,1,0,3045,2.6272578,0.648450245,0.84,50,2.834215494
Niobrara , WY,2,1,0,0,0,0,0,1,0,0,2530,1.581027668,0.926652142,0.59,37,2.82008328
Lincoln , KS,7,2,2,0,0,0,0,0,0,0,3153,3.488740882,0.661758144,0.76,35,2.771327142
Jones , SD,1,0,0,0,0,0,0,0,0,0,965,1.03626943,0.77284264,0.57,20,2.757901539
Golden Valley , ND,3,1,1,0,0,0,0,0,1,0,1828,3.282275711,0.716666667,0.58,19,2.753661875
Platte , WY,12,2,0,0,0,3,0,0,1,0,8776,2.051048314,0.966098081,0.63,96,2.753661875
Potter , SD,5,1,0,0,0,0,0,0,1,0,2334,2.999143102,0.691537306,0.58,29,2.747302379
Harding , NM,1,0,0,0,0,0,0,0,0,0,677,1.477104874,0.789750329,0.48,12,2.736703218
Pembina , ND,16,2,2,0,0,0,1,0,3,0,7129,3.36653107,0.574519647,0.69,96,2.735289997
Pocahontas , IA,16,0,1,0,0,1,1,0,4,0,7125,3.228070175,0.713249602,0.81,79,2.729637111
Renville , MN,32,6,1,0,1,1,1,0,4,0,15003,3.066053456,0.778945241,0.78,153,2.711971844
Traverse , MN,7,1,0,0,0,0,0,0,1,0,3391,2.654084341,0.787969283,0.77,41,2.709852012
Redwood , MN,29,8,4,0,0,0,3,2,2,1,15509,3.1594558,0.742895289,0.83,165,2.705612348
Nicollet , MN,22,6,4,0,1,2,2,2,1,0,33257,1.202754307,0.763380047,0.86,676,2.697133019
