County,State,Population,Suicides'16
Autauga,AL,55416,14
Baldwin,AL,208563,42
Barbour,AL,25965,4
Bibb,AL,22643,4
Blount,AL,57704,11
Bullock,AL,10362,1
Butler,AL,19998,5
Calhoun,AL,114611,25
Chambers,AL,33843,15
Cherokee,AL,25725,6
Chilton,AL,43941,2
Choctaw,AL,12993,1
Clarke,AL,24392,7
Clay,AL,13492,1
Cleburne,AL,14924,2
Coffee,AL,51226,10
Colbert,AL,54216,9
Conecuh,AL,12395,1
Coosa,AL,10581,2
Covington,AL,37458,5
Crenshaw,AL,13913,1
Cullman,AL,82471,19
Dale,AL,49226,7
Dallas,AL,40008,4
DeKalb,AL,70900,10
Elmore,AL,81799,21
Escambia,AL,37728,10
Etowah,AL,102564,17
Fayette,AL,16546,6
Franklin,AL,31628,5
Geneva,AL,26614,3
Greene,AL,8422,2
Hale,AL,14952,2
Henry,AL,17164,1
Houston,AL,104056,10
Jackson,AL,52138,14
Jefferson,AL,659521,84
Lamar,AL,13918,0
Lauderdale,AL,92318,20
Lawrence,AL,33244,5
Lee,AL,158991,17
Limestone,AL,92753,10
Lowndes,AL,10358,1
Macon,AL,18963,1
Madison,AL,356967,76
Marengo,AL,19673,2
Marion,AL,29998,2
Marshall,AL,95157,17
Mobile,AL,414836,70
Monroe,AL,21530,0
Montgomery,AL,226349,30
Morgan,AL,119012,28
Perry,AL,9574,0
Pickens,AL,20324,0
Pike,AL,33286,3
Randolph,AL,22652,5
Russell,AL,58172,6
St.Clair,AL,88019,16
Shelby,AL,210622,31
Sumter,AL,13040,2
Talladega,AL,80103,10
Tallapoosa,AL,40727,6
Tuscaloosa,AL,206102,24
Walker,AL,64967,15
Washington,AL,16756,3
Wilcox,AL,10986,1
Winston,AL,23805,4
AleutiansEastBorough,AK,3296,-1
AleutiansWestCensusArea,AK,5647,2
AnchorageBorough,AK,298192,69
BethelCensusArea,AK,17968,11
BristolBayBorough,AK,898,0
DenaliBorough,AK,1953,-1
DillinghamCensusArea,AK,4954,1
FairbanksNorthStarBorough,AK,100605,25
HainesBorough,AK,2496,-1
Hoonah-AngoonCensusArea,AK,2078,-1
JuneauBorough,AK,32468,9
KenaiPeninsulaBorough,AK,58506,18
KetchikanGatewayBorough,AK,13746,2
KodiakIslandBorough,AK,13732,2
LakeandPeninsulaBorough,AK,1562,-1
Matanuska-SusitnaBorough,AK,104365,22
NomeCensusArea,AK,9917,5
NorthSlopeBorough,AK,9606,3
NorthwestArcticBorough,AK,7673,5
PetersburgBorough/CensusArea,AK,3149,-1
PrinceofWales-HyderCensusArea,AK,6347,-1
PrinceofWales-OuterKetchikanCensusArea,AK,NA,0
SitkaBorough,AK,8830,1
SkagwayMunicipality,AK,1088,-1
Skagway-Hoonah-AngoonCensusArea,AK,NA,-1
SoutheastFairbanksCensusArea,AK,6876,2
Valdez-CordovaCensusArea,AK,9355,1
WadeHamptonCensusArea,AK,8049,10
WrangellandBorough,AK,2411,-1
Wrangell-PetersburgCensusArea,AK,NA,0
YakutatBorough,AK,601,-1
Yukon-KoyukukCensusArea,AK,5526,2
Apache,AZ,73112,20
Cochise,AZ,125770,30
Coconino,AZ,140908,25
Gila,AZ,53556,14
Graham,AZ,37599,12
Greenlee,AZ,9613,2
LaPaz,AZ,20317,5
Maricopa,AZ,4242997,691
Mohave,AZ,205249,71
Navajo,AZ,110026,36
Pima,AZ,1016206,184
Pinal,AZ,418540,68
SantaCruz,AZ,45985,5
Yavapai,AZ,225562,82
Yuma,AZ,205631,26
Arkansas,AR,18214,1
Ashley,AR,20492,2
Baxter,AR,41062,15
Benton,AR,258291,42
Boone,AR,37304,6
Bradley,AR,10996,2
Calhoun,AR,5144,0
Carroll,AR,27646,7
Chicot,AR,10945,2
Clark,AR,22657,4
Clay,AR,14920,1
Cleburne,AR,25264,6
Cleveland,AR,8241,1
Columbia,AR,23901,3
Conway,AR,20937,1
Craighead,AR,105835,20
Crawford,AR,62267,11
Crittenden,AR,49235,4
Cross,AR,17037,4
Dallas,AR,7469,1
Desha,AR,11876,2
Drew,AR,18651,2
Faulkner,AR,122227,23
Franklin,AR,17626,6
Fulton,AR,12123,0
Garland,AR,97477,18
Grant,AR,18082,5
Greene,AR,44598,14
Hempstead,AR,21974,3
HotSpring,AR,33374,8
Howard,AR,13377,3
Independence,AR,37168,7
Izard,AR,13433,3
Jackson,AR,17221,6
Jefferson,AR,70016,12
Johnson,AR,26176,7
Lafayette,AR,6847,1
Lawrence,AR,16735,2
Lee,AR,9310,0
Lincoln,AR,13705,1
LittleRiver,AR,12451,4
Logan,AR,21792,2
Lonoke,AR,72228,14
Madison,AR,16072,4
Marion,AR,16325,3
Miller,AR,43787,9
Mississippi,AR,42835,9
Monroe,AR,7169,1
Montgomery,AR,8879,6
Nevada,AR,8398,3
Newton,AR,7936,2
Ouachita,AR,24098,2
Perry,AR,10132,1
Phillips,AR,18975,6
Pike,AR,10832,1
Poinsett,AR,24023,5
Polk,AR,20173,7
Pope,AR,63779,9
Prairie,AR,8251,2
Pulaski,AR,393250,74
Randolph,AR,17448,4
St.Francis,AR,26196,3
Saline,AR,118703,18
Scott,AR,10277,2
Searcy,AR,7967,1
Sebastian,AR,127793,21
Sevier,AR,16910,5
Sharp,AR,17157,5
Stone,AR,12539,3
Union,AR,39887,10
VanBuren,AR,16628,3
Washington,AR,228049,39
White,AR,79263,14
Woodruff,AR,6641,3
Yell,AR,21552,4
Alameda,CA,1647704,157
Alpine,CA,1071,-1
