State,Suicides_16
Alabama,788
Alaska,193
Arizona,1271
Arkansas,555
California,4294
Colorado,1168
Connecticut,397
Delaware,119
District of Columbia,40
Florida,3143
Georgia,1409
Hawaii,174
Idaho,351
Illinois,1415
Indiana,1034
Iowa,451
Kansas,514
Kentucky,756
Louisiana,677
Maine,226
Maryland,586
Massachusetts,631
Michigan,1364
Minnesota,745
Mississippi,383
Missouri,1133
Montana,267
Nebraska,246
Nevada,650
New Hampshire,244
New Jersey,687
New Mexico,471
New York,1679
North Carolina,1373
North Dakota,140
Ohio,1707
Oklahoma,822
Oregon,772
Pennsylvania,1970
Rhode Island,126
South Carolina,815
South Dakota,163
Tennessee,1111
Texas,3488
Utah,620
Vermont,118
Virginia,1166
Washington,1141
West Virginia,362
Wisconsin,866
Wyoming,144
,44965
