county,state,clinton,trump
Autauga,AL,"5,936","18,172"
Baldwin,AL,"18,458","72,883"
Barbour,AL,"4,871","5,454"
Bibb,AL,"1,874","6,738"
Blount,AL,"2,156","22,859"
Bullock,AL,"3,530","1,140"
Butler,AL,"3,726","4,901"
Calhoun,AL,"13,242","32,865"
Chambers,AL,"5,784","7,843"
Cherokee,AL,"1,547","8,953"
Chilton,AL,"2,911","15,081"
Choctaw,AL,"3,109","4,106"
Clarke,AL,"5,749","7,140"
Clay,AL,"1,237","5,245"
Cleburne,AL,684,"5,764"
Coffee,AL,"4,221","15,875"
Colbert,AL,"7,312","16,746"
Conecuh,AL,"3,080","3,420"
Coosa,AL,"1,782","3,381"
Covington,AL,"2,387","13,267"
Crenshaw,AL,"1,664","4,513"
Cullman,AL,"3,798","32,989"
Dale,AL,"4,413","13,808"
Dallas,AL,"12,836","5,789"
DeKalb,AL,"3,622","21,405"
Elmore,AL,"8,443","27,634"
Escambia,AL,"4,605","9,935"
Etowah,AL,"10,442","32,353"
Fayette,AL,"1,362","6,712"
Franklin,AL,"2,197","9,466"
Geneva,AL,"1,525","9,994"
Greene,AL,"4,013",838
Hale,AL,"4,775","3,173"
Henry,AL,"2,292","5,632"
Houston,AL,"10,664","30,728"
Jackson,AL,"3,673","16,672"
Jefferson,AL,"156,873","134,768"
Lamar,AL,"1,036","5,823"
Lauderdale,AL,"9,952","27,899"
Lawrence,AL,"3,627","10,833"
Lee,AL,"21,230","34,617"
Limestone,AL,"9,468","29,067"
Lowndes,AL,"4,883","1,751"
Macon,AL,"7,566","1,431"
Madison,AL,"62,822","89,520"
Marengo,AL,"5,615","5,233"
Marion,AL,"1,432","11,274"
Marshall,AL,"4,917","29,233"
Mobile,AL,"72,186","95,116"
Monroe,AL,"4,332","5,795"
Montgomery,AL,"58,916","34,003"
Morgan,AL,"11,254","37,486"
Perry,AL,"3,824","1,407"
Pickens,AL,"3,972","5,456"
Pike,AL,"5,056","7,693"
Randolph,AL,"2,291","7,705"
Russell,AL,"9,579","9,210"
St. Clair,AL,"5,589","31,651"
Shelby,AL,"22,977","73,020"
Sumter,AL,"4,746","1,581"
Talladega,AL,"12,121","20,614"
Tallapoosa,AL,"5,519","13,594"
Tuscaloosa,AL,"31,762","47,723"
Walker,AL,"4,497","24,266"
Washington,AL,"2,374","6,042"
Wilcox,AL,"4,339","1,742"
Winston,AL,872,"9,228"
Alabama,T,"729,547","1,318,255"
,,,
District 1,AK,"2,573","3,180"
District 2,AK,"1,585","3,188"
District 3,AK,"1,241","5,403"
District 4,AK,"4,162","4,070"
District 5,AK,"3,187","3,683"
District 6,AK,"2,536","4,929"
District 7,AK,"1,510","5,935"
District 8,AK,"1,218","6,126"
District 9,AK,"1,843","6,100"
District 10,AK,"1,808","6,255"
District 11,AK,"2,142","6,444"
District 12,AK,"1,928","6,629"
District 13,AK,"1,684","4,028"
District 14,AK,"3,043","5,978"
District 15,AK,"1,828","2,525"
District 16,AK,"3,294","3,203"
District 17,AK,"3,290","2,618"
District 18,AK,"3,909","2,684"
District 19,AK,"2,669","1,636"
District 20,AK,"4,151","2,187"
District 21,AK,"4,224","3,479"
District 22,AK,"3,270","4,203"
District 23,AK,"2,894","3,246"
District 24,AK,"3,578","4,709"
District 25,AK,"3,378","3,816"
District 26,AK,"3,374","4,548"
District 27,AK,"3,729","4,085"
District 28,AK,"4,749","5,423"
District 29,AK,"2,101","6,347"
District 30,AK,"1,816","6,194"
District 31,AK,"3,466","5,617"
District 32,AK,"2,701","3,764"
District 33,AK,"5,978","2,732"
District 34,AK,"4,220","3,955"
District 35,AK,"3,749","4,105"
District 36,AK,"2,693","4,460"
District 37,AK,"2,421","1,938"
District 38,AK,"2,758","1,143"
District 39,AK,"3,142","1,405"
District 40,AK,"2,338","1,377"
Overseas,AK,274,40
Alaska,T,"116,454","163,387"
,,,
Apache,AZ,"17,083","8,240"
Cochise,AZ,"17,450","28,092"
Coconino,AZ,"32,404","21,108"
Gila,AZ,"7,003","14,182"
Graham,AZ,"3,301","8,025"
Greenlee,AZ,"1,092","1,892"
La Paz,AZ,"1,575","4,003"
Maricopa,AZ,"702,907","747,361"
Mohave,AZ,"17,455","58,282"
Navajo,AZ,"16,459","20,577"
Pima,AZ,"224,661","167,428"
Pinal,AZ,"47,892","72,819"
Santa Cruz,AZ,"11,690","3,897"
Yavapai,AZ,"35,590","71,330"
Yuma,AZ,"24,605","25,165"
Arizona,T,"1,161,167","1,252,401"
,,,
Arkansas,AR,"1,939","3,826"
Ashley,AR,"2,408","5,338"
Baxter,AR,"4,169","14,682"
Benton,AR,"28,005","60,871"
Boone,AR,"2,926","12,235"
Bradley,AR,"1,317","2,164"
Calhoun,AR,639,"1,556"
Carroll,AR,"3,342","6,786"
Chicot,AR,"2,350","1,716"
Clark,AR,"3,620","4,404"
Clay,AR,"1,199","3,781"
Cleburne,AR,"2,101","9,458"
